frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,1,1,False,False,True,1.0333333333333334,True,True,[],[    -0.2214   -0.080422     0.97186],55.72258611807878,-144.84208250270817,0.2806071181063716,0.16820185530086662,0.17267078212426662,33.5,16.67981446991334,49.790490954965186,1.7288984473546345
frame_1,0,255,1,1,False,False,True,1.0666666666666667,True,True,[],[    -0.1934     -0.1023     0.97577],54.65587395389891,-140.60346032839834,0.29014718979066,0.1179757021048371,0.12379654687248569,33.5,21.70242978951629,64.78337250601878,1.7270118792851765
frame_2,0,255,1,1,False,False,True,1.0689655172413792,True,True,[],[   -0.18896   -0.094566     0.97742],55.60970187268014,-133.17136316134616,0.2937181766970125,0.12736759214419147,0.12573523917139573,33.5,20.763240785580855,61.979823240539865,1.733494046850956
frame_3,0,255,1,1,False,False,True,1.0666666666666667,True,True,[],[   -0.23371   -0.011713     0.97224],61.00588111546138,-141.45299532645532,0.2818248691221197,0.1836333116989486,0.18357970037248533,33.5,15.136668830105144,45.18408606001535,1.7339105270204753
frame_4,0,255,1,1,False,False,True,1.0666666666666667,True,True,[],[   -0.16683    -0.10119     0.98078],54.36995907375017,-142.1087649742864,0.31582948991251825,0.13347889049051997,0.13561368055035028,33.5,20.152110950948003,60.155555077456725,1.727911978407355
frame_5,0,255,1,1,False,False,True,1.0689655172413792,True,True,[],[   -0.21526    -0.12432     0.96861],50.04230047161601,-146.53223635659262,0.25661633123916716,0.13943333089386534,0.1405544542208153,33.5,19.55666691061347,58.37811018093573,1.7235873124012253
frame_6,0,255,1,1,False,False,True,1.0689655172413792,True,True,[],[   -0.20789   -0.043819     0.97717],73.92221768426167,179.82109115605564,0.286762957360984,0.23594834398827835,0.23101465074599944,33.5,9.905165601172166,29.567658510961692,1.7547631055514017
frame_7,0,255,1,1,False,False,True,1.0689655172413792,True,True,[],[   -0.26482   -0.026092     0.96395],73.28660017501151,-176.25898196034402,0.22501841574531944,0.22518910427583672,0.22609517978657234,33.5,10.98108957241633,32.77937185795919,1.75250520657333
frame_8,0,255,1,1,False,False,True,1.0689655172413792,True,True,[],[   -0.20217   -0.043404     0.97839],73.0023151091565,-173.30079578049876,0.28961799559801915,0.23495817725332824,0.23674813092894045,33.5,10.004182274667178,29.863230670648296,1.7420281330625453
frame_9,0,255,1,1,False,False,True,1.103448275862069,True,True,[],[    -0.2364   -0.032445     0.97111],74.64584121375516,-175.76229331939845,0.24091500399987065,0.23178958863686527,0.23089840713229615,33.5,10.321041136313475,30.809078018846197,1.7746016817925747
