Dataset_ID,Bagfile_Name,Date,Time,Dataset_Type,Image_Format,Duration_Sec,Num_Images_Left,Num_Images_Right,Frame_Rate_FPS,Size_GB,Fishes_Present
Dataset B,stereo_camera_images_2025-08-21-13-35-09_1_compressed.bag,2025_08_21,13-35-09,single_fish,Compressed,"16,38",246,246,"15,02","1,01",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-34-25_0_compressed.bag,2025_08_21,13-34-25,single_fish,Compressed,"44,43",667,668,"15,01","2,74",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-36-41_1_compressed.bag,2025_08_21,13-36-41,single_fish,Compressed,"16,58",250,250,"15,07","1,03",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-35-56_0_compressed.bag,2025_08_21,13-35-56,single_fish,Compressed,"44,43",667,667,"15,01","2,74",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-51-02_0_compressed.bag,2025_08_21,13-51-02,single_fish,Compressed,"60,95",611,611,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-57-08_0_compressed.bag,2025_08_21,13-57-08,single_fish,Compressed,"60,95",611,610,"10,02","2,37",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-09-37_1_compressed.bag,2025_08_21,12-09-37,single_fish,Compressed,"27,68",555,555,"20,05","2,5",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-09-03_0_compressed.bag,2025_08_21,12-09-03,single_fish,Compressed,"33,32",667,667,"20,02","2,89",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-58-40_0_compressed.bag,2025_08_21,13-58-40,single_fish,Compressed,"60,85",610,610,"10,02","2,43",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-41-52_0_compressed.bag,2025_08_21,13-41-52,single_fish,Compressed,"60,95",611,611,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-49-30_0_compressed.bag,2025_08_21,13-49-30,single_fish,Compressed,"60,96",611,611,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-38-13_1_compressed.bag,2025_08_21,13-38-13,single_fish,Compressed,"16,45",248,248,"15,07","1,02",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-37-28_0_compressed.bag,2025_08_21,13-37-28,single_fish,Compressed,"44,43",667,667,"15,01","2,73",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-15-10_0_compressed.bag,2025_08_21,12-15-10,single_fish,Compressed,"33,32",667,667,"20,02","2,89",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-15-43_1_compressed.bag,2025_08_21,12-15-43,single_fish,Compressed,"27,67",555,555,"20,06","2,49",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-46-27_0_compressed.bag,2025_08_21,13-46-27,single_fish,Compressed,"60,86",610,610,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-55-37_0_compressed.bag,2025_08_21,13-55-37,single_fish,Compressed,"60,95",611,611,"10,02","2,37",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-44-56_0_compressed.bag,2025_08_21,13-44-56,single_fish,Compressed,"60,85",610,610,"10,02","2,5",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-52-34_0_compressed.bag,2025_08_21,13-52-34,single_fish,Compressed,"60,95",611,611,"10,02","2,47",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-38-54_0_compressed.bag,2025_08_21,13-38-54,single_fish,Compressed,"60,96",611,611,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-08-05_1_compressed.bag,2025_08_21,12-08-05,single_fish,Compressed,"27,48",551,551,"20,05","2,46",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-07-32_0_compressed.bag,2025_08_21,12-07-32,single_fish,Compressed,"33,32",667,667,"20,02",3,Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-47-59_0_compressed.bag,2025_08_21,13-47-59,single_fish,Compressed,"60,95",611,610,"10,03","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-12-40_1_compressed.bag,2025_08_21,12-12-40,single_fish,Compressed,"27,72",556,556,"20,06","2,39",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-12-06_0_compressed.bag,2025_08_21,12-12-06,single_fish,Compressed,"33,32",667,667,"20,02","2,96",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-43-24_0_compressed.bag,2025_08_21,13-43-24,single_fish,Compressed,"60,96",611,611,"10,02","2,51",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-40-21_0_compressed.bag,2025_08_21,13-40-21,single_fish,Compressed,"60,96",611,611,"10,02","2,5",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-13-38_0_compressed.bag,2025_08_21,12-13-38,single_fish,Compressed,"33,32",667,667,"20,02",3,Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-14-12_1_compressed.bag,2025_08_21,12-14-12,single_fish,Compressed,"27,62",554,554,"20,06","2,46",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-11-09_1_compressed.bag,2025_08_21,12-11-09,single_fish,Compressed,"27,42",550,550,"20,06","2,37",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-12-10-35_0_compressed.bag,2025_08_21,12-10-35,single_fish,Compressed,"33,32",667,667,"20,02","2,88",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-54-05_0_compressed.bag,2025_08_21,13-54-05,single_fish,Compressed,"60,95",611,611,"10,02","2,37",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-33-04_0_compressed.bag,2025_08_21,13-33-04,single_fish,Compressed,"39,16",667,667,"17,03","2,75",Red Tag (29.1cm)
Dataset B,stereo_camera_images_2025-08-21-13-33-43_1_compressed.bag,2025_08_21,13-33-43,single_fish,Compressed,"21,75",371,371,"17,06","1,53",Red Tag (29.1cm)
Dataset_B,r_stereo_camera_images_2025-08-21-10-37-15_1_compressed.bag,2025_08_21,10-37-15,single_fish,Compressed,"13,52",204,203,"15,09","0,86",Red Tag (29.1cm)
Dataset_B,r_stereo_camera_images_2025-08-21-13-05-55_0_compressed.bag,2025_08_21,13-05-55,single_fish,Compressed,"51,21",615,616,"12,01","2,5",Red Tag (29.1cm)
Dataset_B,r50-end_stereo_camera_images_2025-08-21-10-07-59_0_compressed.bag,2025_08_21,10-07-59,single_fish,Compressed,"55,95",561,561,"10,03","2,36",Red Tag (29.1cm)
Dataset_B,r398-end_stereo_camera_images_2025-08-21-10-09-31_0_compressed.bag,2025_08_21,10-09-31,single_fish,Compressed,"21,28",214,212,"10,06","0,89",Red Tag (29.1cm)
Dataset_B,r0-344_stereo_camera_images_2025-08-21-10-09-31_0_compressed.bag,2025_08_21,10-09-31,single_fish,Compressed,"34,27",343,343,"10,01","1,44",Red Tag (29.1cm)
Dataset_B,r0-244_stereo_camera_images_2025-08-21-10-11-02_0_compressed.bag,2025_08_21,10-11-02,single_fish,Compressed,"24,28",243,243,"10,01","1,02",Red Tag (29.1cm)
Dataset_B,r295-end_stereo_camera_images_2025-08-21-10-11-02_0_compressed.bag,2025_08_21,10-11-02,single_fish,Compressed,"31,47",316,315,"10,04","1,33",Red Tag (29.1cm)
Dataset_B,r215-end_stereo_camera_images_2025-08-21-10-12-34_0_compressed.bag,2025_08_21,10-12-34,single_fish,Compressed,"39,47",396,396,"10,03","1,65",Red Tag (29.1cm)
Dataset_B,r0-528_stereo_camera_images_2025-08-21-10-14-05_0_compressed.bag,2025_08_21,10-14-05,single_fish,Compressed,"52,66",528,527,"10,03","2,2",Red Tag (29.1cm)
Dataset_B,r496-end_stereo_camera_images_2025-08-21-10-15-37_0_compressed.bag,2025_08_21,10-15-37,single_fish,Compressed,"11,49",115,115,"10,01","0,48",Red Tag (29.1cm)
Dataset_B,r0-78_stereo_camera_images_2025-08-21-10-20-29_1_compressed.bag,2025_08_21,10-20-29,multiple_fish,Compressed,"5,13",77,77,"15,01","0,33","Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r60-297_stereo_camera_images_2025-08-21-13-22-22_0_compressed.bag,2025_08_21,13-22-22,multiple_fish,Compressed,"13,93",236,237,"16,94","0,98","Black Tag (26.6cm), Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r0-304_stereo_camera_images_2025-08-21-13-23-54_0_compressed.bag,2025_08_21,13-23-54,multiple_fish,Compressed,"17,81",303,303,"17,01","1,25","Black Tag (26.6cm), Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r378-463_stereo_camera_images_2025-08-21-13-22-22_0_compressed.bag,2025_08_21,13-22-22,multiple_fish,Compressed,"4,99",85,85,"17,02","0,35","Black Tag (26.6cm), Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r47-end_stereo_camera_images_2025-08-21-10-18-24_0_compressed.bag,2025_08_21,10-18-24,multiple_fish,Compressed,"56,25",564,564,"10,03","2,4","Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r383-534_stereo_camera_images_2025-08-21-10-19-44_0_compressed.bag,2025_08_21,10-19-44,multiple_fish,Compressed,"10,06",151,150,"15,02","0,64","Unmarked (32.3cm), Red Tag (29.1cm)"
Dataset_B,r450-524_stereo_camera_images_2025-08-21-13-23-54_0_compressed.bag,2025_08_21,13-23-54,multiple_fish,Compressed,"4,35",74,74,"17,01","0,3","Black Tag (26.6cm), Unmarked (32.3cm), Red Tag (29.1cm)"
