frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,2,1,False,False,True,3.6459629491532626,True,True,[],[  -0.011269     0.25173     0.96773],-27.630187626045704,24.909464017591105,1.944580567334801,0.3295339350267375,0.332016126292658,33.5,0.5466064973262463,1.6316611860484966,1.3409697942000016
frame_0,0,127,1,1,False,False,True,2.8263051562273107,True,True,[],[   0.094476     0.23316     0.96784],7.270577858321466,37.21741983582307,0.7389267485920176,0.2842143658241588,0.2879357626846996,33.5,5.07856341758412,15.159890798758568,1.0106746972800422
frame_1,0,255,2,1,False,False,True,3.6562982170383145,True,True,[],[   0.016507     0.25893     0.96575],-27.682917121819557,25.390377608504547,1.9464007042562623,0.3262256406057815,0.3323273339052986,33.5,0.87743593942185,2.619211759468209,1.3384849926658968
frame_1,0,127,1,1,False,False,True,2.889474307203201,True,True,[],[    0.16602     0.22447     0.96024],6.614608759785885,36.006464525267,0.7484874564842707,0.2908678709316918,0.2970303798390745,33.5,4.413212906830816,13.17376987113676,1.0072617237905848
frame_2,0,255,2,1,False,False,True,3.6760943173119998,True,True,[],[ -0.0030948      0.2441     0.96975],-27.43260347950103,25.61031445115295,1.965858962524354,0.3219589687838393,0.3247823262885999,33.5,1.304103121616068,3.892845139152442,1.3346437465503544
frame_2,0,127,1,1,False,False,True,3.014068763194432,True,True,[],[    0.17954     0.21944     0.95896],4.954625632827666,33.817307988761534,0.7666273592600902,0.3007678236371981,0.3058812625346029,33.5,3.4232176362801905,10.218560108299076,1.0046444526200415
frame_3,0,255,2,1,False,False,True,3.617954340661503,True,True,[],[   0.032172     0.28064     0.95927],-28.124317456806665,26.03261763252959,1.941114983660804,0.3240633821249896,0.3304844561684944,33.5,1.093661787501038,3.264662052241904,1.334026849480148
frame_3,0,127,1,1,False,False,True,3.0803021093574863,True,True,[],[    0.15413     0.21909     0.96345],4.000104664997684,31.44465262105517,0.7740895042540737,0.3051903809310446,0.3088317555269349,33.5,2.9809619068955406,8.898393751926987,1.000696364366091
frame_4,0,255,2,1,False,False,True,3.5968817707799237,True,True,[],[   0.034317     0.28055     0.95923],-28.632232075769807,26.19890660302026,2.1354044018584863,0.3223550017335699,0.3243897889426985,33.5,1.2644998266430063,3.774626348188079,1.3294394866155577
frame_4,0,127,1,1,False,False,True,3.1813428194032825,True,True,[],[    0.12259     0.21777     0.96827],3.3861573023062994,30.00763687800538,0.9476374244627578,0.3095371089606908,0.3115525815498495,33.5,2.5462891039309152,7.6008629968087025,0.9972549890160164
frame_5,0,255,2,1,False,False,True,3.569460128030894,True,True,[],[  0.0021245     0.26734      0.9636],-29.78979704420277,25.8327415318486,1.9214481620874504,0.3289657150051616,0.3305730630131599,33.5,0.6034284994838379,1.8012791029368296,1.3270658762107854
frame_5,0,127,1,1,False,False,True,3.3136511414072367,True,True,[],[    0.17116     0.20851     0.96293],0.5146099650193039,29.26620139662504,0.8787883374677958,0.2834702229228724,0.2849706107063461,33.5,5.152977707712758,15.382023008097784,0.9930358704480504
frame_6,0,255,1,1,False,False,True,3.326421919216692,True,True,[],[    0.16481     0.20212     0.96539],-0.3964501054603714,28.75581325371081,1.3895299512264676,0.2912371204198053,0.292693206182133,33.5,4.376287958019471,13.063546143341703,0.990116333558028
frame_7,0,255,2,1,False,False,True,3.473606270227902,True,True,[],[   -0.01795     0.25008     0.96806],-31.39946665368898,24.93139637725473,2.131287948941684,0.3188827830414732,0.3214920626195148,33.5,1.6117216958526803,4.811109539858747,1.319060072131237
frame_7,0,127,1,1,False,False,True,3.369145153343877,True,True,[],[    0.17709     0.21045     0.96143],-0.8073249830478266,28.93083275909519,0.7756752064223463,0.2920763726621407,0.2950335122380429,33.5,4.292362733785931,12.813023085928156,0.9876235990350144
