video_day,source_folder,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
2024_11_12,10_44_11_0,frame_1,0,255,-1,1,False,False,True,2.8794448749236,True,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_9,0,255,-1,1,False,False,True,3.122188948303312,True,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_12,0,255,-1,0,True,False,True,3.172234961823026,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_13,0,255,3,0,True,False,True,3.169992061787312,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_15,0,255,3,0,True,False,True,2.7621951219512195,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_16,0,255,3,0,True,False,True,3.1517141887323703,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_17,0,255,3,0,True,False,True,2.615749442926795,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_18,0,255,3,0,True,False,True,2.8219687125307416,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_19,0,255,3,0,True,False,True,3.875000041293288,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_20,0,255,3,0,False,False,True,3.5781936881518064,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_21,0,255,3,0,False,False,True,3.822578846960361,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_22,0,255,3,0,False,False,True,3.668962150203177,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_23,0,255,3,0,True,False,True,3.5440608172983183,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_24,0,255,3,0,True,False,True,3.453846315396802,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_25,0,255,3,0,True,False,True,3.446721705315666,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_27,0,255,3,0,True,False,True,3.143540832882304,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_29,0,255,3,0,True,False,True,3.351361600274998,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_30,0,255,3,0,True,False,True,3.381306576458848,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_31,0,255,3,0,True,False,True,3.2646484291870475,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_32,0,255,3,0,True,False,True,3.17001460680802,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_33,0,255,3,0,True,False,True,3.166371866685168,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_34,0,255,3,0,True,False,True,3.148173261862919,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_35,0,255,3,0,True,False,True,3.1141569052913787,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_36,0,255,3,0,True,False,True,3.079738673321642,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_38,0,255,3,0,True,False,True,3.065523089136687,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_39,0,255,3,0,True,False,True,3.060000458178759,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_40,0,255,3,0,True,False,True,3.089370406040516,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_41,0,255,3,0,True,False,True,3.117760759261526,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_42,0,255,3,0,True,False,True,3.1030194483935283,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_43,0,255,3,0,True,False,True,3.1806847636947904,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_44,0,255,3,0,True,False,True,3.137190386411944,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_45,0,255,3,0,True,False,True,3.2085254113073147,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_46,0,255,3,0,True,False,True,3.150094085175211,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_47,0,255,3,0,False,False,True,3.207317175925603,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_48,0,255,3,0,False,False,True,3.3322885648766127,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_50,0,255,3,0,False,False,True,3.157572858170985,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_51,0,255,3,0,False,False,True,3.1813072227419923,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_52,0,255,3,0,False,False,True,3.221622946521317,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_53,0,255,3,0,False,False,True,3.4269260387791745,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_55,0,255,3,0,False,False,True,3.377075846032457,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_56,0,255,3,0,False,False,True,3.1825658720818457,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_57,0,255,3,0,False,False,True,3.170269573466509,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_58,0,255,3,0,False,False,True,3.181563886745068,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_59,0,255,3,0,False,False,True,3.218947213157519,False,[],,,,,,,31.5,,,
2024_11_12,10_44_11_0,frame_60,0,255,3,0,False,False,True,3.1823322225150954,False,[],,,,,,,31.5,,,
