frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_m,rel_error_%,fish_dist_from_camera,aspect_ratio
frame_0,0,255,1,1,False,False,[],[    0.99267    -0.12017    0.012973],0.8476628101284623,-6.95600887825336,0.2887293549757743,0.2885148566174251,0.2900698444704457,28.9,0.0485143382574881,16.786968255186224,1.4420544078076365,5.331839252742718
frame_1,0,255,1,1,False,False,[],[     0.9531  -0.0090231    -0.30253],0.039465640492567,-3.5335339771977687,0.8770960959999067,0.291396009785312,0.287793798675854,28.9,0.239600978531207,82.90691298657681,1.4475808449677128,5.394748974696614
frame_3,0,255,1,1,False,False,[],[    0.99746   -0.051866   -0.048845],2.0523238004818505,-3.425822446233006,0.3608117666333329,0.2893417595990968,0.2888980929612953,28.9,0.0341759599096824,11.825591664249991,1.453823131714484,5.385253250909184
frame_4,0,255,1,1,False,False,[],[    0.99934   -0.036134  -0.0035196],1.8620837992915,-2.1625561352618714,0.2918554712726412,0.2917501350877373,0.2887959036368696,28.9,0.2750135087737304,95.16038365873028,1.4591909472861986,5.615384615384615
frame_5,0,255,1,1,False,False,[],[   0.078581    -0.15625     0.98459],2.5306053957747814,-1.7857455228988244,1.5762012503469622,0.2876671074968158,0.287779889752005,28.9,0.1332892503184191,46.12084786104467,1.4625572785176135,5.538461538461538
frame_6,0,255,1,1,False,False,[],[   0.045864    -0.16733     0.98483],-0.2119948877145412,-3.773380832308939,1.4616735171157755,0.2917401678420078,0.2904721116729666,28.9,0.2740167842007812,94.81549626324612,1.467580980039243,5.144465059340261
frame_7,0,255,1,1,False,False,[],[    0.87317   -0.024382    -0.48681],2.038675772756698,-4.718197939668604,0.883145451523546,0.2897607368083939,0.2883584874521587,28.9,0.0760736808393947,26.32307295480786,1.4754630572999845,5.277930327264092
frame_8,0,255,1,1,False,False,[],[    0.99758   -0.042468    0.054986],2.953506820681271,-2.38635160259759,0.2846914366195823,0.2847610585874352,0.2845460981005225,28.9,0.4238941412564756,146.67617344514727,1.4764157420775084,5.296295914303237
frame_9,0,255,1,1,False,False,[],[    0.99872   -0.032312    0.038785],2.175619454958784,-1.860443647255005,0.290086080369028,0.2900940289496397,0.2872368821330637,28.9,0.109402894963978,37.85567299791628,1.4810317630738548,5.296296296296297
frame_11,0,255,1,1,False,False,[],[    0.99439     -0.0799    0.069282],3.969690773323735,-4.685957566107316,0.2875353007465969,0.2852443730796227,0.2829904210997792,28.9,0.3755626920377231,129.95248859436785,1.4902873142832025,5.214132743695822
frame_12,0,255,1,1,False,False,[],[    0.97137    -0.23343    0.044143],2.555332562031471,-13.584448624113753,0.289646583452622,0.2896551857781258,0.289481206215688,28.9,0.0655185778125844,22.670788170444432,1.4942224201524732,5.235616072955528
frame_16,0,255,1,1,False,False,[],[    0.69135    -0.41996     0.58793],9.41424261952156,-25.49214208519399,0.8572597486095083,0.2827470680234928,0.2859481227358406,28.9,0.625293197650717,216.36442825284328,1.5060016038232726,5.279874162785951
frame_17,0,255,1,1,False,False,[],[    0.92707    -0.34701     0.14185],6.702928755674025,-20.49568843358816,0.2844652646370594,0.2850228620018919,0.2827585490762287,28.9,0.397713799810806,137.617231768445,1.5171459583599571,5.240506397065272
frame_20,0,255,1,1,False,False,[],[    0.95833     -0.1833     0.21908],12.296900852175696,-10.957881894296404,0.2814042434410063,0.2811121568862907,0.2774467178497456,28.9,0.788784311370927,272.9357478792135,1.535942877508053,4.648721101864585
frame_21,0,255,1,1,False,False,[],[    0.97248    -0.11481     0.20271],11.473400515825077,-6.758360822768283,0.2797885251589701,0.2800176412695969,0.2741457288313472,28.9,0.898235873040304,310.8082605675793,1.5476773429405848,4.7443825179859545
frame_22,0,255,1,1,False,False,[],[    0.98123   -0.090565     0.17027],9.83684377509217,-5.360488094107294,0.2800637371240694,0.2800605522385927,0.2802432851659683,28.9,0.893944776140726,309.3234519518083,1.5531421099558915,4.723778955580928
frame_23,0,255,1,1,False,False,[],[    0.97555    -0.11593      0.1867],9.88697335593518,-7.364205139903773,0.2766351059105141,0.2760894895532569,0.2776791002780436,28.9,1.291051044674307,446.73046528522747,1.5610598047858073,4.634315840964921
frame_24,0,255,1,1,False,False,[],[    0.98703   -0.020769     0.15917],9.469915987820384,-0.8649612401518628,0.2763651622827254,0.2763608389141481,0.266798189040126,28.9,1.263916108585189,437.3412140433181,1.5667647929287487,5.0
frame_25,0,255,1,1,False,False,[],[    0.99025   -0.040161      0.1334],7.624506756139767,-2.3163863964255285,0.2730736707651953,0.2731382302583522,0.2687282446159729,28.9,1.5861769741647769,548.8501640708571,1.5707937128983618,4.62962962962963
frame_26,0,255,1,1,False,False,[],[    0.99481   -0.017238      0.1003],5.29816367552045,-0.9788776797148168,0.2797269836201115,0.2793371567262796,0.2793623280189227,28.9,0.9662843273720356,334.3544385370366,1.577473269223871,4.884615384615385
frame_27,0,255,1,1,False,False,[],[    0.30167    -0.14908     0.94169],7.299765550946386,-3.205678457222645,1.6659613126104822,0.2797175311418097,0.270973209553207,28.9,0.9282468858190284,321.1926940550272,1.5806924866889325,4.884615384615385
frame_28,0,255,1,1,False,False,[],[    0.97578    -0.17387     0.13277],7.525212875274353,-10.121066356310331,0.2764680130925339,0.2759604885219261,0.2677281822753717,28.9,1.3039511478073862,451.1941687914831,1.5775259391576206,4.667679018992091
frame_29,0,255,1,1,False,False,[],[    0.96819    -0.20656     0.14125],8.205373054528552,-12.182280612095392,0.273715007420053,0.2729007682210145,0.2742449598661295,28.9,1.609923177898548,557.0668435635114,1.5740660833360405,4.7094177008674745
frame_30,0,255,1,1,False,False,[],[    0.96175    -0.23723     0.13699],8.607628399882817,-14.865813395767772,0.2697962698515266,0.2701330276182497,0.2678295199486268,28.9,1.886697238175028,652.8364145934353,1.5750811745880202,4.6514401592054035
frame_31,0,255,1,1,False,False,[],[     0.9656    -0.22975     0.12174],6.331394980911344,-13.58974693615085,0.2698573825246907,0.2699729979856736,0.2680070844365394,28.9,1.9027002014326333,658.3737721220185,1.580154594605279,4.726195675482894
frame_32,0,255,1,1,False,False,[],[    0.96111    -0.21429      0.1742],9.0604871883826,-13.021553536742786,0.2690560912134941,0.2694282796287766,0.2688548819086352,28.9,1.95717203712234,677.22215817382,1.5802466215418398,4.6825022394462525
