frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,2,0,False,False,True,3.8194445125038023,True,True,[],[    0.82374   -0.034403     0.56593],29.681382575744728,-0.7996800213787479,0.2188707835015834,0.21509137489038502,0.21801497265322625,33.5,11.9908625109615,35.79361943570597,1.6629647077321186
frame_0,0,127,1,1,False,False,True,3.674418297190116,True,True,[],[   -0.52863  -0.0068744     0.84882],-19.061182304745362,3.275348731821946,1.5074183197298132,0.29799567649956793,0.28777045928760336,33.5,3.700432350043209,11.04606671654689,1.7650420361352748
frame_1,0,255,2,0,False,False,True,4.2158267057054335,True,True,[],[    0.73137   -0.012632     0.68186],42.94698382522145,0.20435692637204517,0.2175553936931044,0.21658922777301265,0.2117229685105132,33.5,11.841077222698736,35.346499172235035,1.6627682657189709
frame_1,0,127,1,1,False,False,True,3.407034848335693,True,True,[],[   -0.64827   -0.022594     0.76107],-19.28092017935282,3.130843347502116,1.4964166747558956,0.2739747213042705,0.289039688466669,33.5,6.102527869572954,18.216501103202848,1.7672174145860846
frame_2,0,255,2,0,False,False,True,3.8812111226797557,True,True,[],[    0.84379    -0.04843     0.53448],26.682364754900522,-1.6507049662733158,0.19246226978296843,0.18748551334479702,0.19144981050188464,33.5,14.7514486655203,44.03417512095612,1.6656673779815911
frame_2,0,127,1,1,False,False,True,3.302405616768676,True,True,[],[    0.82173    0.035035     -0.5688],-26.601954623373643,2.4006774787996266,0.6884729026950824,0.24986447470623951,0.2618150224663154,33.5,8.513552529376051,25.413589639928514,1.7650702858681753
frame_3,0,255,2,0,False,False,True,3.878687312352218,True,True,[],[    0.81501    -0.06304     0.57601],28.36236172043555,-4.049619467521693,0.18440604944799485,0.16633861814737336,0.18959390881251342,33.5,16.866138185262667,50.34668115003781,1.6621472895714628
frame_3,0,127,1,1,False,False,True,2.8552628668149027,True,True,[],[    0.72097    0.014688    -0.69281],-32.11848356118479,1.4657940224676005,0.9551200292320103,0.2907610082676608,0.2743914468665942,33.5,4.423899173233919,13.205669173832597,1.7723646269353985
frame_4,0,255,2,0,False,False,True,3.676581769494789,True,True,[],[      0.916   -0.054358     0.39748],24.256284138945052,-3.27964040423153,0.15075550102367996,0.15014897591189483,0.14908757526057062,33.5,18.48510240881052,55.17941017555379,1.660644883219003
frame_4,0,127,1,1,False,False,True,2.5338077478109406,True,True,[],[    0.81911 -5.1728e-05    -0.57364],-36.33270605997609,0.5696087146379771,0.2504046360848897,0.25022583550626076,0.2557212545452442,33.5,8.477416449373926,25.30572074439978,1.7725746372996216
frame_5,0,255,2,0,False,False,True,3.297791170325802,True,True,[],[    0.99733    -0.07265  -0.0079976],-2.612865099354988,-4.629307023220462,0.16157766692917963,0.1630827622107135,0.16979203433974882,33.5,17.19172377892865,51.31857844456314,1.6654070676573172
frame_5,0,127,1,1,False,False,True,2.4827586206896552,True,True,[],[   -0.65499  -0.0066385     0.75561],-7.071912225289695,1.4463747393278523,0.9323570347554837,0.1913963160146026,0.19131730499837835,33.5,14.360368398539741,42.8667713389246,1.8014700571893658
frame_6,0,255,2,0,False,False,True,3.0975373818764735,False,False,[],,-1.0,-1.0,-1.0,-1.0,0.13494125782492167,33.5,,,1.6581505906222405
frame_6,0,127,1,1,False,False,True,2.2580645161290325,True,True,[],[    0.71203   0.0088553    -0.70209],-41.67825198604477,0.40910834826805065,0.6020617556015024,0.2522357200883423,0.27635149612479976,33.5,8.276427991165775,24.705755197509777,1.7813547864211556
frame_7,0,255,2,0,False,False,True,2.705456638184501,True,False,[],,-16.720175563099605,-16.248114052815215,-1.0,0.12302140103498149,0.13086192857966583,33.5,21.197859896501853,63.27719372090106,1.6741386171908694
frame_7,0,127,1,1,False,False,True,2.129032258064516,True,True,[],[   -0.68876   0.0015855     0.72498],47.34927508928437,-179.18307742966363,0.2504855128776313,0.25052375097246493,0.2485701036641375,33.5,8.447624902753509,25.216790754488084,1.7648633808121645
frame_8,0,255,2,0,False,False,True,2.7160806014360857,False,False,[],,-1.0,-1.0,-1.0,-1.0,0.10202869551012791,33.5,,,1.6662380695343018
frame_8,0,127,1,1,False,False,True,2.032258064516129,True,True,[],[   -0.66662   -0.020708     0.74511],50.05549895241361,-178.40012984094153,0.26739136410982045,0.26086236594839685,0.26073426540680855,33.5,7.413763405160317,22.130637030329307,1.767022625859288
frame_9,0,255,2,0,False,False,True,2.139823577824642,True,True,[],[   -0.44646     0.70254     0.55418],28.996015025333993,119.15688716708405,0.11598866378136696,0.08590478583512029,0.0918054675262129,33.5,24.909521416487973,74.35678034772529,1.6710706883734399
frame_9,0,127,1,1,False,False,True,2.1068140794608787,True,True,[],[   -0.63163   -0.017437     0.77507],-24.73432038029714,15.478004400852338,0.27413473976193714,0.1820755929761082,0.18241177453131388,33.5,15.292440702389182,45.6490767235498,1.8327467109903943
frame_10,0,255,2,0,False,False,True,2.1029152146113033,False,False,[],[   -0.40768     0.59712     0.69083],-1.0,-1.0,-1.0,-1.0,0.04887952067015288,33.5,,,1.6634930187622003
frame_10,0,127,1,1,False,False,True,2.0468262823320957,True,True,[],[   -0.58006   -0.013567     0.81446],54.007055610817,-178.41693717521636,0.27578574320627025,0.2761517598745087,0.2749973646653398,33.5,5.884824012549133,17.566638843430248,1.7671675794492891
frame_11,0,255,2,0,False,False,True,2.1304577845141557,True,True,[],[  -0.048671     0.99881   0.0044185],-2.145915786980201,90.5940064514465,0.08070071545575791,0.07895287741630207,0.08103741383605655,33.5,25.604712258369794,76.4319768906561,1.697217712987144
