video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10-44-11_0,10-44-11_0,frame_1,0,255,-1,1,False,False,True,2.8794448749236,True,True,[],[  -0.070343    0.036386     0.99686],85.51353709308516,150.51962742009246,0.5066163445438745,0.5039277487373863,0.4935821065120812,31.5,18.89277487373863,73.17104767607776,2.2404853064023382,lubina0,aspect_ratio_fail,2024_11_12/10-44-11_0/-1,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_9,0,255,-1,1,False,False,True,3.122188948303312,True,True,[],[  -0.050442    0.046943     0.99762],86.13772098286215,134.49548305056985,0.4911920237874447,0.4751272142413807,0.4708126405273334,31.5,16.01272142413807,63.2739567839796,2.2569482418155937,lubina0,angle_fail,2024_11_12/10-44-11_0/-1,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_12,0,255,-1,0,True,False,True,3.172234961823026,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/-1,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_13,0,255,3,0,True,False,True,3.169992061787312,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_15,0,255,3,0,True,False,True,2.7621951219512195,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_16,0,255,3,0,True,False,True,3.1517141887323703,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_17,0,255,3,0,True,False,True,2.615749442926795,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_18,0,255,3,0,True,False,True,2.8219687125307416,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_19,0,255,3,0,True,False,True,3.875000041293288,,False,[],,,,,,,31.5,,,,lubina0,borders,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_20,0,255,3,0,False,False,True,3.5781936881518064,True,True,[],[    -0.2138    -0.39788     0.89218],-6.7046873551698,19.90547203026864,2.2977505422852325,0.3051533794113669,0.2978223506252244,31.5,0.9846620588633108,4.863704265074519,0.7965339758998603,lubina0,incomplete_3D,2024_11_12/10-44-11_0/3,single_fish
2024_11_12,10-44-11_0,10-44-11_0,frame_21,0,255,3,0,False,False,True,3.822578846960361,True,True,[],[    0.28802    -0.12964     0.94881],6.875616862538875,16.723738771651178,2.555299092493968,1.0973983763251436,1.1075220849341347,31.5,78.23983763251437,277.1128440979875,2.1072568332172734,lubina0,incomplete_3D,2024_11_12/10-44-11_0/3,single_fish
