video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10_44_11_0,10_44_11_0,frame_45,0,255,3,0,True,False,True,1.485242486000061,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_46,0,255,3,0,True,False,True,1.4369395971298218,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_47,0,255,3,0,False,False,True,1.5117747783660889,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_48,0,255,3,0,False,False,True,1.5966914892196655,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_50,0,255,3,0,False,False,True,1.5238796472549438,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_51,0,255,3,0,False,False,True,1.7679815292358398,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_52,0,255,3,0,False,False,True,2.1055753231048584,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_53,0,255,3,0,False,False,True,2.371307849884033,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_55,0,255,3,0,False,False,True,2.244967460632324,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_56,0,255,3,0,False,False,True,2.2597150802612305,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_57,0,255,3,0,False,False,True,2.1136116981506348,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_58,0,255,3,0,False,False,True,1.6947650909423828,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_59,0,255,3,0,False,False,True,1.8029136657714844,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_60,0,255,3,0,False,False,True,2.3016581535339355,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_61,0,255,3,1,False,False,True,1.9260365962982176,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_62,0,255,3,0,False,False,True,1.8262569904327397,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_63,0,255,3,0,False,False,True,1.883626937866211,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_64,0,255,3,0,False,False,True,1.8679025173187256,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_66,0,255,3,0,False,False,True,1.7497223615646362,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_67,0,255,3,0,False,False,True,1.6933437585830688,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_68,0,255,3,0,False,False,True,1.707749843597412,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
