frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_0,0,127,1,1,False,False,True,5.064124067036206,True,False,[],,-1.3259418840404587,13.051380466973551,-1.0,0.29338306956288085,0.2918673277715006,29.1,0.2383069562880813,0.8189242484126504,1.7175131352360533
frame_1,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_1,0,127,1,1,False,False,True,5.4777783046008315,False,False,[],,-1.0,-1.0,-1.0,-1.0,0.7955464956669364,29.1,,,1.751395791491593
frame_2,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_2,0,127,1,1,False,False,True,5.9,True,True,[],[    0.98576   -0.028569     0.16568],8.27223649347623,-1.3711347773847091,0.27254591510780973,0.2735689116169939,0.2699363539236919,29.1,1.743108838300611,5.9900647364282165,1.7146909250015463
frame_3,0,255,2,0,True,False,True,1.76,,False,[],,,,,,,29.1,,,
frame_3,0,127,1,1,False,False,True,5.363636363636363,True,True,[],[    0.98244    -0.05555     0.17811],7.657574148843851,-3.0163373711312027,0.28757745500658966,0.27591878981621054,0.27847535516950184,29.1,1.5081210183789495,5.182546454910479,1.7173736754328512
frame_4,0,255,1,1,False,False,True,4.747252465710178,True,False,[],,2.78404005377102,-6.771995217473257,-1.0,0.2747981168859833,0.2698331969436264,29.1,1.6201883114016713,5.567657427497152,1.7247863646926194
frame_5,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_5,0,127,1,1,False,False,True,4.708823805070263,True,False,[],,5.678564331627169,-5.760859670808503,-1.0,0.28033766427356593,0.28083581314533135,29.1,1.0662335726434102,3.664032895681822,1.7247347163290048
frame_6,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_6,0,127,1,1,False,False,True,4.72,True,False,[],,4.532283226189829,0.9744299307032726,-1.0,0.28287319122764193,0.278583822149178,29.1,0.8126808772358107,2.7927177911883527,1.735116951254745
frame_7,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_7,0,127,1,1,False,False,True,5.85,True,True,[],[    0.99465   -0.032248    0.098127],6.885109803990528,-1.5040131748882193,0.2800096782811719,0.27992700397116427,0.2785456876200711,29.1,1.1072996028835769,3.8051532745140095,1.7405766952753337
frame_8,0,255,2,0,True,False,True,1.7199999572753841,,False,[],,,,,,,29.1,,,
frame_8,0,127,1,1,False,False,True,5.666666666666667,True,True,[],[    0.99696    0.039094    0.067436],3.984755553444919,2.1736540964065005,0.2915420345201494,0.29045038888927377,0.28958058948417936,29.1,0.05496111107262669,0.18886979750043534,1.7528143972385237
frame_9,0,255,1,1,False,False,True,4.874439770996399,True,True,[],[    0.98914     0.13904    0.047614],3.1058031600896685,8.060098299547239,0.28594610761232736,0.28560876002448427,0.28138199612458575,29.1,0.5391239975515771,1.8526597854006086,1.7578784356826775
frame_10,0,255,1,1,False,False,True,5.076922929591366,True,True,[],[    0.21594   -0.067061      0.9741],3.4976490303576737,7.199006126661991,1.3383121106325024,0.29838503462192145,0.28738263927850016,29.1,0.7385034621921416,2.53781258485272,1.771717891008547
frame_11,0,255,1,1,False,False,True,5.173913043478261,True,True,[],[    0.99815    0.039297   -0.046403],-2.6018614069252273,2.2519001579164226,0.2885183111505867,0.2885542526736078,0.2813855199677703,29.1,0.24457473263922447,0.8404629987602216,1.7655886769070661
