frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,1,1,False,False,True,3.323894817239686,True,True,[],[   -0.62628    -0.33038     0.70613],45.09951333527455,-152.43244582242627,0.2579500061085158,0.25795013868562067,0.26909260198236407,29.1,3.304986131437937,11.357340657862327,1.8131637421583378
frame_1,0,255,1,1,False,False,True,3.294515832467492,True,True,[],[   -0.62906    -0.32799     0.70477],45.27211036527892,-152.4282386198739,0.258080963618877,0.2578336984050642,0.26110632614854756,29.1,3.316630159493583,11.397354499977949,1.8107438562465463
frame_2,0,255,1,1,False,False,True,3.32518348129481,True,True,[],[   -0.59899      -0.328     0.73049],47.1957428184821,-151.37109689268513,0.2698436930127732,0.2697584367467163,0.27455782474298485,29.1,2.1241563253283746,7.299506272606098,1.8108772891940492
frame_3,0,255,1,1,False,False,True,3.278350592939375,True,True,[],[   -0.60636     -0.3309     0.72308],46.12579571668257,-151.5629227808272,0.27712121377065646,0.27730288168611117,0.27815880845585345,29.1,1.3697118313888867,4.706913509927445,1.809933189496037
frame_4,0,255,1,1,False,False,True,3.3894737512664617,True,True,[],[   -0.62354    -0.33237     0.70763],45.44532246318652,-151.93097482345297,0.2582215993556427,0.25822016053208463,0.25641460480583445,29.1,3.2779839467915406,11.264549645331753,1.8081733460480212
frame_5,0,255,1,1,False,False,True,3.4421052844938744,True,True,[],[   -0.60117    -0.33349     0.72621],46.41299825508324,-151.1346678277156,0.27061856703309917,0.27091634495142203,0.2720247188462316,29.1,2.008365504857801,6.901599673050862,1.8086056583156662
frame_6,0,255,1,1,False,False,True,3.470874123263546,True,True,[],[   -0.61563    -0.33317     0.71414],45.7271347966946,-151.8746760914847,0.2745765007879015,0.27444854833815846,0.2766594462357937,29.1,1.6551451661841576,5.687784076234218,1.8133937356516066
frame_7,0,255,1,1,False,False,True,3.395833185584372,True,True,[],[   -0.60198    -0.33135     0.72652],46.26488479447665,-151.57331637499823,0.2745614027721215,0.27475654342142963,0.27497059009683705,29.1,1.6243456578570403,5.5819438414331275,1.8148818398784028
frame_8,0,255,1,1,False,False,True,3.4526319386110225,True,True,[],[   -0.60247       -0.32     0.73119],47.28072097457118,-152.0935271001113,0.2627909824716528,0.26265885989301396,0.25950439618255006,29.1,2.8341140106986074,9.739223404462567,1.8086716648757732
frame_9,0,255,1,1,False,False,True,3.431001571950368,True,True,[],[    -0.6138    -0.34071     0.71216],45.85911378116662,-151.20421119058332,0.277421069573367,0.277263394758436,0.28374138860163045,29.1,1.373660524156406,4.7204829008811195,1.813673649674933
frame_10,0,255,1,1,False,False,True,3.568421369623274,True,True,[],[   -0.57672    -0.33336     0.74583],-16.73801285783911,32.90306724027167,0.2751940598556253,0.17180743310024493,0.17207926542976515,29.1,11.91925668997551,40.959644982733714,1.8680242527419235
frame_11,0,255,1,1,False,False,True,3.499999964415139,True,True,[],[   -0.61733    -0.35069     0.70422],44.97636435066971,-150.42035419569464,0.28200371842949346,0.28194945591287524,0.28280212958116197,29.1,0.9050544087124801,3.1101526072593817,1.8121692669626914
frame_12,0,255,1,1,False,False,True,3.5086207969583643,True,True,[],[   -0.60118    -0.34805     0.71933],45.96612806319864,-150.10561275776956,0.27905674182963947,0.27913766260056927,0.28299176985772334,29.1,1.1862337399430767,4.076404604615384,1.8119933457664363
frame_13,0,255,1,1,False,False,True,3.4696971097319764,True,True,[],[   -0.60464    -0.35092     0.71503],45.84556569990405,-150.27178475405734,0.2808877472488538,0.2807628774519524,0.2780391495114469,29.1,1.023712254804765,3.5179115285387113,1.8125154213048518
frame_14,0,255,1,1,False,False,True,3.3676473065489008,True,True,[],[   -0.61226     -0.3485     0.70971],45.095962076166856,-150.339266161923,0.26545636572219533,0.2655902916472055,0.27167760467214613,29.1,2.5409708352794547,8.731858540479225,1.8079292139999323
frame_15,0,255,1,1,False,False,True,3.2525249200667674,True,True,[],[   -0.61034    -0.35104     0.71011],45.256025508296986,-150.23330598577252,0.28383096793041074,0.2839574845753101,0.28104409780880873,29.1,0.7042515424689921,2.420108393364234,1.8109601855774204
frame_16,0,255,1,1,False,False,True,3.20794684972661,True,True,[],[   -0.60516    -0.33318     0.72304],46.33281769135277,-151.05262807382263,0.2967335491288823,0.2968200101262306,0.29719089099623963,29.1,0.5820010126230568,2.0000034798043185,1.8130224444888743
frame_17,0,255,1,1,False,False,True,3.46505338137855,True,True,[],[   -0.63934    -0.37701     0.67016],42.86455355373273,-149.39008551956672,0.2766815048279949,0.2762083232699468,0.2821912058938043,29.1,1.4791676730053216,5.0830504226987,1.8122583601825921
frame_18,0,255,1,1,False,False,True,3.2355989413883557,True,True,[],[   -0.61967    -0.36313      0.6958],45.13768376758395,-149.22654636832914,0.28034731423534853,0.27996210206436745,0.28361190707641576,29.1,1.103789793563259,3.7930920741005467,1.815924326449552
frame_19,0,255,1,1,False,False,True,3.3024474543360727,True,True,[],[   -0.64488    -0.37763     0.66447],42.57746264261241,-149.6539770024124,0.28892410369827504,0.28025563524940167,0.27725705780913634,29.1,1.0744364750598367,3.6922215637795075,1.8123157835215624
frame_20,0,255,1,1,False,False,True,3.3849559840917673,True,True,[],[   -0.63237    -0.35809     0.68693],44.06567233214206,-150.3579535743954,0.27153516055869,0.27126798483541137,0.27730700992434576,29.1,1.9732015164588668,6.780761224944559,1.8127141826370747
frame_21,0,255,1,1,False,False,True,3.3065742424460467,True,True,[],[   -0.62518    -0.34866     0.69827],45.017534134613726,-150.829991963677,0.25942679191524576,0.2587812419082116,0.27234926721681263,29.1,3.2218758091788424,11.07173817587231,1.8154695969755932
frame_22,0,255,1,1,False,False,True,3.313172023543066,True,True,[],[   -0.62071    -0.35436     0.69939],45.087051553189305,-150.30243079836814,0.2691724326307292,0.26865442232476644,0.2738367478819097,29.1,2.2345577675233597,7.67889267190158,1.8167437313009152
frame_23,0,255,1,1,False,False,True,3.2137928902607182,True,True,[],[   -0.61175    -0.36244     0.70314],45.45182168862136,-149.39355750046695,0.2723607696726844,0.2720721542583602,0.2798448554579547,29.1,1.892784574163986,6.504414344206137,1.8153026732841777
frame_24,0,255,1,1,False,False,True,3.4266475577976254,True,True,[],[   -0.59224    -0.36086     0.72044],2.0226739407655443,34.47480820635629,0.27052367369718744,0.1494918760388259,0.14893578958392195,29.1,14.150812396117413,48.628221292499695,1.8660172892607285
frame_25,0,255,1,1,False,False,True,3.339350245669021,True,True,[],[   -0.61902    -0.36323     0.69633],45.21563615657182,-149.72882479785068,0.28255068821327356,0.2821842324449022,0.2836508414522665,29.1,0.8815767555097831,3.029473386631557,1.816793733340804
frame_26,0,255,1,1,False,False,True,3.3234659650784173,True,True,[],[   -0.59005    -0.34687     0.72905],45.90388334531053,-149.96945044230162,0.27926054538871004,0.279883686058249,0.28968885771450087,29.1,1.1116313941751055,3.820039155240912,1.8170850369991831
frame_27,0,255,1,1,False,False,True,3.303234400632295,True,True,[],[   -0.57515    -0.33855     0.74471],47.60742104824155,-149.7390756911925,0.28243140517015064,0.28278595238675863,0.29059658527044685,29.1,0.8214047613241404,2.822696774309761,1.8159488737753753
frame_28,0,255,1,1,False,False,True,3.133244787180451,True,True,[],[   -0.59112    -0.35962     0.72198],46.266483341169646,-148.92693757438718,0.2679224041248669,0.26795867066547263,0.2802465622188164,29.1,2.3041329334527405,7.917982589184675,1.8227021406483475
frame_29,0,255,1,1,False,False,True,3.066157595667264,True,True,[],[   -0.58777    -0.36638     0.72131],46.32411122247037,-148.09062804144958,0.2612260654197014,0.26114662172562264,0.2846688031432371,29.1,2.9853378274377396,10.258892877792919,1.826443435749487
frame_30,0,255,1,1,False,False,True,3.0012840163894245,True,True,[],[    -0.6172     -0.3806     0.68863],44.63595675269981,-148.37053912115445,0.26858933398583607,0.2682572933843117,0.28566990287755645,29.1,2.2742706615688335,7.815363098174685,1.819503997334943
frame_31,0,255,1,1,False,False,True,3.061093084917389,True,True,[],[   -0.59601    -0.36801     0.71368],46.304452267752254,-148.30804704432896,0.2601437365271315,0.25980198684445255,0.2799913029725032,29.1,3.119801315554749,10.720966720119412,1.8187011659953005
frame_32,0,255,1,1,False,False,True,3.1034480717462953,True,True,[],[   -0.57366     -0.3519     0.73965],47.336279675442185,-148.91327033940652,0.2549668463992032,0.2553283819597456,0.28309831048185824,29.1,3.5671618040254427,12.258287986341728,1.8224815468600744
frame_33,0,255,1,1,False,False,True,3.367781487983082,True,True,[],[   -0.59151    -0.35983     0.72155],-13.414180393162091,33.19972069520467,0.2665559841884382,0.22703302093765726,0.22791351537501892,29.1,6.3966979062342775,21.981779746509545,1.8675920007830837
frame_34,0,255,1,1,False,False,True,3.421842730180238,True,True,[],[    -0.6239    -0.36347     0.69184],-27.545622178431294,29.59391364164292,0.27899591011031566,0.22847142744269522,0.21692435862341217,29.1,6.252857255730482,21.487481978455264,1.856304078991761
frame_35,0,255,1,1,False,False,True,3.3904233629056773,True,True,[],[    -0.6341    -0.36728     0.68046],44.972894985874916,-149.43220014370462,0.28179833755300954,0.28134200204462556,0.2856818062586134,29.1,0.9657997955374475,3.3188996410221563,1.8185975496984703
frame_36,0,255,1,1,False,False,True,3.2578171024038602,True,True,[],[   -0.59706    -0.34266     0.72533],46.7686457476407,-150.30433206011105,0.28162675629599554,0.281520137211799,0.27907769160224594,29.1,0.947986278820101,3.2576848069419273,1.8224485443501615
frame_37,0,255,1,1,False,False,True,3.257812458815253,True,True,[],[    -0.5795    -0.33339     0.74366],47.697826131263824,-150.4716395619417,0.2787766666784097,0.27889042745000125,0.2888404928526228,29.1,1.2109572549998782,4.161365137456626,1.8196498051207455
frame_38,0,255,1,1,False,False,True,3.251716218556064,True,True,[],[   -0.57384    -0.33141     0.74891],48.13697706800039,-150.32617328787015,0.2680748234924246,0.268441279676078,0.27621299856466974,29.1,2.2558720323922032,7.752137568358086,1.8099255922918993
frame_39,0,255,1,1,False,False,True,3.263473293484133,True,True,[],[   -0.58778    -0.35678      0.7261],46.65763823127761,-149.00406019900004,0.28239827590478517,0.2823971215053316,0.29926664651316837,29.1,0.8602878494668453,2.956315633906685,1.8209370143772423
frame_40,0,255,1,1,False,False,True,3.1785449191253186,True,True,[],[   -0.57596    -0.33835     0.74417],48.53222275463415,-149.7813840071863,0.2919015204129718,0.2917102527683979,0.29066036244015847,29.1,0.07102527683978677,0.24407311628792702,1.8154890427668606
frame_41,0,255,1,1,False,False,True,3.0593576969491223,True,True,[],[   -0.54696    -0.32795     0.77025],50.88492640434066,-149.12529611890974,0.285284571027171,0.2850439214812315,0.28525239718238177,29.1,0.5956078518768559,2.0467623775836974,1.823421677071546
frame_42,0,255,1,1,False,False,True,3.148571446517047,True,True,[],[   -0.58738    -0.38298     0.71296],46.193832109767456,-146.89709799449514,0.2793183660479397,0.2791961324961807,0.29164328693890057,29.1,1.1803867503819343,4.056311856982592,1.8197581301838668
frame_43,0,255,1,1,False,False,True,3.1148151785363556,True,True,[],[    -0.5839    -0.37419     0.72045],45.57998785172066,-147.82706229833965,0.27037949268173644,0.2708983402951348,0.2790917299060769,29.1,2.0101659704865216,6.907786840159867,1.8201133689779867
frame_44,0,255,1,1,False,False,True,3.2246693284132606,True,True,[],[   -0.58802    -0.38015     0.71395],46.173732784196446,-147.3556791763708,0.2785054396052262,0.2783798276948837,0.2906260197090387,29.1,1.2620172305116362,4.336828970830365,1.8224736844193228
frame_45,0,255,1,1,False,False,True,3.331025305750494,True,True,[],[    -0.5857     -0.3576     0.72738],47.17487252030293,-148.75710769862644,0.26097084257492753,0.2606821710626541,0.27501925867529164,29.1,3.0317828937345914,10.418497916613715,1.822560117967201
frame_46,0,255,1,1,False,False,True,3.3112451011742308,True,True,[],[   -0.56934    -0.34714     0.74522],48.52362854840903,-148.81017832856566,0.24915244691445992,0.24893080183317973,0.2620354333097546,29.1,4.206919816682031,14.456769129491517,1.8221259562339642
frame_47,0,255,1,1,False,False,True,3.118902683566673,True,True,[],[   -0.54659    -0.34158     0.76457],50.38004112443844,-148.2531893515806,0.26674579506111806,0.26670506537304584,0.2708288138146453,29.1,2.42949346269542,8.348774785894914,1.8254972395616778
frame_48,0,255,1,1,False,False,True,3.078810565770384,True,True,[],[   -0.53306    -0.34011      0.7747],50.607641578914354,-147.66839696201902,0.24346145228261307,0.24365335457904713,0.2503678505388096,29.1,4.73466454209529,16.270324886925394,1.8176900747087266
frame_49,0,255,1,1,False,False,True,3.05586201967412,True,True,[],[     -0.508    -0.34682     0.78845],39.43379718610889,-140.30743467020667,0.25150495704377507,0.24388753016710574,0.27359805691209244,29.1,4.7112469832894295,16.189852176252334,1.861114235891812
frame_50,0,255,1,1,False,False,True,3.102508589785306,True,True,[],[   -0.54246    -0.36199     0.75808],49.92918539067717,-146.3120538662637,0.24663558155514886,0.24607589131000873,0.2561997738844669,29.1,4.49241086899913,15.437838037797697,1.820751849170903
frame_51,0,255,1,1,False,False,True,3.1143881996835434,True,True,[],[   -0.53333    -0.36421     0.76349],49.5556377802876,-146.11585248818582,0.25367144718515333,0.2539499690253999,0.26043312200251945,29.1,3.7050030974600134,12.731969407079083,1.818407746002352
frame_52,0,255,1,1,False,False,True,3.0912256006478347,True,True,[],[   -0.53267    -0.37756     0.75744],48.68570224189677,-145.06506169104065,0.27406619659793874,0.2744909920774026,0.2752876599337169,29.1,1.6509007922597463,5.6731985988307425,1.8139277677830465
frame_53,0,255,1,1,False,False,True,3.2793650115446416,True,True,[],[   -0.51215    -0.39086     0.76481],49.65825225905343,-142.789131256966,0.28560582179006233,0.2858594197509212,0.2886036712431624,29.1,0.5140580249078819,1.7665224223638551,1.8208216874074619
frame_54,0,255,1,1,False,False,True,3.440151478516492,True,True,[],[    -0.4959    -0.39458     0.77355],50.795311042637124,-141.63561491558264,0.26149363604492093,0.2614354777405701,0.2726962846722166,29.1,2.956452225942996,10.159629642415794,1.8236246588675842
frame_55,0,255,1,1,False,False,True,3.354632709766449,True,True,[],[    -0.5155    -0.39061     0.76268],50.059767191479736,-142.95144940499844,0.2839896867808871,0.2822485796471381,0.28455040366029744,29.1,0.8751420352861916,3.007360946000658,1.817784732128796
frame_56,0,255,1,1,False,False,True,3.2744188276559645,True,True,[],[   -0.51982    -0.37411     0.76801],50.74045956700227,-144.35026007408783,0.27024279916845706,0.27001272888127303,0.2736111045452767,29.1,2.0987271118727002,7.2121206593563585,1.8164763537620894
frame_57,0,255,1,1,False,False,True,3.2264600245126713,True,True,[],[   -0.49553    -0.34813     0.79577],-35.72801616305545,33.62097242618003,0.2751701037250398,0.26685727220115274,0.23999031217743774,29.1,2.4142727798847297,8.296470033968143,1.8621273357360089
frame_58,0,255,1,1,False,False,True,3.289248460809425,True,True,[],[   -0.52448    -0.36065     0.77127],50.685506789895726,-145.5639603830224,0.2702533109375074,0.2702057086002725,0.2704311882472364,29.1,2.079429139972755,7.1458046047173704,1.8096555991219712
frame_59,0,255,1,1,False,False,True,3.4324329368400486,True,True,[],[   -0.56639    -0.42492     0.70614],45.73678073096243,-142.97733263865572,0.25908670952163404,0.258589013537853,0.26841374420049335,29.1,3.241098646214702,11.137796035102067,1.8124919457259623
frame_60,0,255,1,1,False,False,True,3.210106623838689,True,True,[],[   -0.56285    -0.41618     0.71414],46.71826953156112,-143.31268646102967,0.2670556197815619,0.26603689781857986,0.2696656434410617,29.1,2.496310218142017,8.57838562935401,1.8126171257244337
frame_61,0,255,1,1,False,False,True,3.1634739236924214,True,True,[],[   -0.55483    -0.43735     0.70773],46.14073303814411,-141.51019189280774,0.2779736071555634,0.278173888653541,0.28991717569069164,29.1,1.2826111346459057,4.407598400845036,1.8180761336622748
