frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,2,1,False,False,True,3.2647058954850694,True,True,[],[    0.47455    -0.40456     0.78176],-32.8391307934865,126.44200491676006,0.8279598248711966,0.2092213990566063,0.2019564379366723,29.1,8.177860094339373,28.10261200803908,2.1105281479504643
frame_0,0,127,1,1,False,False,True,5.078358011857938,True,True,[],[    0.93999    0.040975    -0.33872],-16.046667583620888,2.526331002283648,0.3344597224205068,0.29439450102422937,0.2889201891687721,29.1,0.3394501024229335,1.1664951973296682,2.4688824696171565
frame_1,0,255,2,1,False,False,True,3.4610776501077787,True,True,[],[     0.2768     0.14393     0.95009],-33.8903499470591,117.75570159472528,1.1274487821446093,0.20910595858248104,0.20480558156300877,29.1,8.189404141751899,28.142282274061508,2.139191051420656
frame_1,0,127,1,1,False,False,True,5.0588235294117645,True,True,[],[    0.88902    0.052289    -0.45488],-21.70708339848593,3.9201067212488665,0.46944135851008884,0.3140952223289257,0.29666803542698317,29.1,2.309522232892569,7.936502518531165,2.45217900399986
frame_2,0,255,2,1,False,False,True,3.5136984988831497,True,True,[],[    0.26672     0.21779     0.93884],-27.460452242087808,111.51327948627744,1.1091077991795255,0.23440759078295392,0.2287814148629801,29.1,5.659240921704612,19.447563304826843,2.151408377815695
frame_2,0,127,1,1,False,False,True,5.0588235294117645,True,True,[],[    0.83998   0.0031925    -0.54261],-28.790410011541937,1.1639111135089752,0.43379366299899114,0.34405205877393996,0.31846007777544705,29.1,5.305205877393993,18.230948032281763,2.462306390808608
frame_3,0,255,2,1,False,False,True,3.6774191273266865,True,True,[],[    0.28357     0.19451     0.93902],-30.370318449648455,112.72640920079955,1.0799838639322394,0.23893225399325058,0.22887957750727211,29.1,5.206774600674946,17.89269622225067,2.150472025027732
frame_3,0,127,1,1,False,False,True,4.833333333333333,True,True,[],[    0.97826    -0.06655    -0.19642],-10.755352342190903,-3.8382692350683874,0.29740593805618826,0.2951449551791988,0.3119050462431632,29.1,0.41449551791987727,1.4243832230923616,2.4598426729319045
frame_4,0,255,2,1,False,False,True,3.452631734126042,True,True,[],[    0.27659     0.13981     0.95076],-29.176688910257408,116.14681802086076,0.9897916000636324,0.21671746355895816,0.21300911415744028,29.1,7.428253644104188,25.526644825100302,2.159190358134746
frame_4,0,127,1,1,False,False,True,5.117647058823529,True,True,[],[    0.97359    -0.02902    -0.22644],-13.003511757813325,-1.6805929697512698,0.30091364310125146,0.30092370304711497,0.29662535124875067,29.1,0.9923703047114929,3.410207232685542,2.4776492596925244
frame_5,0,255,2,1,False,False,True,3.6250006731659674,True,True,[],[   -0.47825     0.65496    -0.58507],-30.429205447625364,121.89919631664499,0.24858882200821597,0.2360009142481967,0.22321670217962353,29.1,5.499908575180335,18.90002946797366,2.1613860355536785
frame_5,0,127,1,1,False,False,True,5.112032655596397,True,True,[],[    0.99448    0.047486   -0.093553],-2.850300856954656,2.098365020534521,0.3061264954080269,0.2943635051935848,0.2871536838276496,29.1,0.3363505193584748,1.1558437091356522,2.4996052674004727
