unique_track,video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_28_13-34-27_0_28,2024_11_28,13-34-27_0,28,12.0,28.56241764142456,28.9,0.33758235857543895,13.164064409216962
2024_11_28_13-34-27_0_31,2024_11_28,13-34-27_0,31,47.0,29.597880005414673,28.9,0.6978800054146745,8.4382824316767
2024_11_28_13-36-49_0_1,2024_11_28,13-36-49_0,1,10.0,21.874171763877868,21.6,0.2741717638778667,-18.759414845743684
2024_11_28_13-36-49_0_2,2024_11_28,13-36-49_0,2,76.0,30.76024174699698,28.9,1.86024174699698,-3.386330011733552
2024_11_28_13-36-49_0_10,2024_11_28,13-36-49_0,10,6.0,23.17806355989822,21.6,1.5780635598982187,-3.6899150342846956
2024_11_28_13-36-49_0_11,2024_11_28,13-36-49_0,11,6.0,21.55097292949606,21.6,0.04902707050394284,12.352496960910083
2024_11_28_13-36-49_0_19,2024_11_28,13-36-49_0,19,45.0,22.134979982946692,21.6,0.534979982946691,9.64256972250979
2024_11_28_13-36-49_0_20,2024_11_28,13-36-49_0,20,17.0,28.345442744960618,28.9,0.5545572550393807,-3.578666452064703
2024_11_28_13-36-49_0_24,2024_11_28,13-36-49_0,24,66.0,21.544256169740187,21.6,0.05574383025981433,-11.312230142806344
2024_11_28_13-36-49_0_30,2024_11_28,13-36-49_0,30,97.0,29.253963447800174,28.9,0.35396344780017586,-12.527503128686828
2024_11_28_13-39-00_0_2,2024_11_28,13-39-00_0,2,42.0,30.400846405117637,28.9,1.5008464051176382,1.2091292712562265
2024_11_28_13-39-00_0_8,2024_11_28,13-39-00_0,8,9.0,28.01608830300925,28.9,0.8839116969907472,-12.397236962335525
2024_11_28_13-39-00_0_11,2024_11_28,13-39-00_0,11,7.0,29.432887882069807,28.9,0.532887882069808,-19.048933068283983
2024_11_28_13-39-00_0_12,2024_11_28,13-39-00_0,12,202.0,29.345884051093623,28.9,0.44588405109362483,1.7069032047714505
2024_11_28_13-41-12_0_2,2024_11_28,13-41-12_0,2,58.0,22.36104816560464,21.6,0.7610481656046382,-10.304904189506079
2024_11_28_13-41-12_0_11,2024_11_28,13-41-12_0,11,112.0,31.203392432814432,28.9,2.3033924328144337,11.683197366870457
2024_11_28_13-42-45_0_1,2024_11_28,13-42-45_0,1,9.0,28.869680464343126,28.9,0.030319535656872176,5.096768042911656
2024_11_28_13-42-45_0_2,2024_11_28,13-42-45_0,2,170.0,21.61688617865255,21.6,0.016886178652548267,11.472851560533627
2024_11_28_13-42-45_0_5,2024_11_28,13-42-45_0,5,101.0,29.205322935693427,28.9,0.30532293569342883,10.758552241014803
2024_11_28_13-42-45_0_17,2024_11_28,13-42-45_0,17,38.0,29.171794007399104,28.9,0.2717940073991052,1.028085860524707
2024_11_28_13-42-45_0_26,2024_11_28,13-42-45_0,26,185.0,29.097234357175534,28.9,0.19723435717553528,1.980315772781342
2024_11_28_13-48-24_0_1,2024_11_28,13-48-24_0,1,89.0,29.428222174709912,28.9,0.5282221747099136,-7.198462951908192
2024_11_28_13-48-24_0_4,2024_11_28,13-48-24_0,4,11.0,22.66484979631686,21.6,1.0648497963168602,3.7114075248609906
2024_11_28_13-48-24_0_5,2024_11_28,13-48-24_0,5,10.0,22.041387987294108,21.6,0.44138798729410667,-8.272448943499748
2024_11_28_13-48-24_0_10,2024_11_28,13-48-24_0,10,52.0,21.53827283447262,21.6,0.06172716552737967,6.049323938999369
2024_11_28_13-49-20_0_2,2024_11_28,13-49-20_0,2,28.0,21.71391775710298,21.6,0.11391775710297836,8.136369912110961
2024_11_28_13-49-20_0_9,2024_11_28,13-49-20_0,9,24.0,22.044369392765244,21.6,0.44436939276524257,7.123338585859127
2024_11_28_13-49-20_0_13,2024_11_28,13-49-20_0,13,24.0,31.947324165308732,28.9,3.0473241653087335,-3.969718536699204
2024_11_28_13-49-20_0_16,2024_11_28,13-49-20_0,16,64.0,20.989308437410937,21.6,0.6106915625890643,0.9495258865429899
2024_11_28_13-49-20_0_25,2024_11_28,13-49-20_0,25,102.0,30.3490920308089,28.9,1.4490920308089024,13.28994446438023
2024_11_28_13-49-20_0_29,2024_11_28,13-49-20_0,29,7.0,22.1120453274362,21.6,0.5120453274361978,26.187523364051042
2024_11_28_13-49-20_0_32,2024_11_28,13-49-20_0,32,10.0,21.15341773439654,21.6,0.44658226560346037,23.426102826111148
2024_11_28_13-49-20_0_34,2024_11_28,13-49-20_0,34,6.0,20.31535104719983,21.6,1.2846489528001719,2.2012963980541973
2024_11_28_13-49-20_0_41,2024_11_28,13-49-20_0,41,31.0,20.804489472975675,21.6,0.7955105270243266,4.11916930412146
2024_11_28_13-49-20_0_58,2024_11_28,13-49-20_0,58,20.0,22.142035900296104,21.6,0.5420359002961028,-3.0948647152063855
2024_11_28_13-49-20_0_61,2024_11_28,13-49-20_0,61,8.0,20.16182584444094,21.6,1.4381741555590608,13.010193661742077
2024_11_28_13-49-20_0_64,2024_11_28,13-49-20_0,64,54.0,23.57223984287226,21.6,1.9722398428722592,11.753192686004619
2024_11_28_13-49-20_0_73,2024_11_28,13-49-20_0,73,97.0,28.8385957691071,28.9,0.06140423089289726,1.0388603962893654
