video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_28,13-12-31_0,13-12-31_0,frame_103,0,255,4,1,False,False,True,5.747127155235046,True,False,[],,-1.1955284375834752,-6.099100944794738,-1.0,0.2868028355188151,0.284441418728494,28.9,0.2197164481184899,1.4423245639810656,1.8296314458040484,caballa,bad_pointcloud,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_104,0,255,4,1,False,False,True,5.712328754468952,True,True,[],[    0.97236    -0.18877     0.13744],7.003677054927684,-10.859744199345736,0.2914672129191857,0.2904504179722045,0.3165384386628014,28.9,0.14504179722045052,0.1888598033661637,1.7687312807180242,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_105,0,255,4,1,False,False,True,6.329114206310035,True,True,[],[    0.88589    -0.15905    -0.43579],-26.028255684867087,-10.114176298220114,0.2644099375546884,0.2636808948140595,0.3475929267179153,28.9,2.5319105185940494,9.38800865496237,1.7169401574393977,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_106,0,255,4,1,False,False,True,6.586207513334961,True,True,[],[    0.86949    -0.23099    -0.43662],-29.461326229962776,-14.306455054786456,0.2717852430517057,0.2672540661768767,0.2632635371359669,28.9,2.174593382312331,8.160114715849947,1.7056205842636676,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_107,0,255,4,1,False,False,True,6.290000506379405,True,True,[],[    0.81424     -0.2386    -0.52923],-29.11611183517202,-16.612399495734586,0.3016416538351139,0.2600596847164462,0.2640521642511623,28.9,2.894031528355381,10.632410750362146,1.7050765075696004,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_108,0,255,4,1,False,False,True,5.164285325383679,True,False,[],,-5.648856516481773,-9.913630628351765,-1.0,0.2788941914239742,0.3661203434404616,28.9,1.0105808576025765,4.160071675610252,1.7133422795891156,caballa,bad_pointcloud,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_109,0,255,4,1,False,False,True,4.638202420128229,True,True,[],[    0.86612  -0.0019945     0.49984],19.44064923393323,2.1768570988039824,0.5758858183384636,0.2745051590287879,0.2897600402198078,28.9,1.449484097121207,5.668330230657086,1.7713232157394765,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_110,0,255,4,1,False,False,True,5.370748433017926,True,True,[],[    0.62339    0.038728     0.78095],22.69832660750357,14.577096555230783,1.181399877186223,0.2997220248283704,0.2782954876556852,28.9,1.0722024828370422,2.997259391192566,1.7580328909664382,caballa,measured,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_111,0,255,4,1,False,False,True,6.299999712115123,True,True,[],[    0.46741    -0.01189     0.88396],30.55246450552985,17.57178476733282,1.3623867319005147,0.3155798304290661,0.2796210379299665,28.9,2.657983042906615,8.446677123390407,1.7450992199839377,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
2024_11_28,13-12-31_0,13-12-31_0,frame_112,0,255,4,1,False,False,True,5.452685439173075,True,True,[],[    0.50629    0.011764     0.86228],35.61645054178162,14.173230214838648,1.4465425890161214,0.4056024026421799,0.3082342457290102,28.9,11.66024026421799,39.38226894920271,1.7310159838422978,caballa,angle_fail,2024_11_28/13-12-31_0/4,single_fish
