unique_track,video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_28_13-32-16_0_30,2024_11_28,13-32-16_0,30,6.0,29.90533196650495,28.9,1.0053319665049507,-4.88814237563317
2024_11_28_13-32-16_0_44,2024_11_28,13-32-16_0,44,13.0,31.50979241626679,28.9,2.6097924162667923,7.035488360855601
2024_11_28_13-32-16_0_53,2024_11_28,13-32-16_0,53,116.0,30.049169843834,28.9,1.1491698438340023,1.3068585516404942
2024_11_28_13-32-16_0_67,2024_11_28,13-32-16_0,67,18.0,28.64834697810149,28.9,0.2516530218985089,2.137332559604152
2024_11_28_13-34-27_0_1,2024_11_28,13-34-27_0,1,10.0,29.38443315616748,28.9,0.48443315616747995,12.837879051232516
2024_11_28_13-34-27_0_8,2024_11_28,13-34-27_0,8,11.0,30.850492325397177,28.9,1.9504923253971782,2.1827491294421195
2024_11_28_13-34-27_0_21,2024_11_28,13-34-27_0,21,92.0,29.565132844361504,28.9,0.665132844361505,-0.02896623924583436
2024_11_28_13-34-27_0_23,2024_11_28,13-34-27_0,23,8.0,22.21583200497341,21.6,0.6158320049734094,0.055019331311375375
2024_11_28_13-34-27_0_28,2024_11_28,13-34-27_0,28,7.0,28.46162879467307,28.9,0.4383712053269271,3.5453264422755586
2024_11_28_13-34-27_0_31,2024_11_28,13-34-27_0,31,32.0,30.183550778917418,28.9,1.2835507789174194,2.163113533438704
2024_11_28_13-36-49_0_2,2024_11_28,13-36-49_0,2,49.0,30.68123839587717,28.9,1.7812383958771711,-2.7067991046635367
2024_11_28_13-36-49_0_19,2024_11_28,13-36-49_0,19,35.0,22.284274878034672,21.6,0.684274878034671,5.939750804821556
2024_11_28_13-36-49_0_20,2024_11_28,13-36-49_0,20,16.0,28.345442744960618,28.9,0.5545572550393807,-5.571762391876289
2024_11_28_13-36-49_0_24,2024_11_28,13-36-49_0,24,53.0,21.549818545770517,21.6,0.0501814542294845,-10.191748870511816
2024_11_28_13-36-49_0_30,2024_11_28,13-36-49_0,30,51.0,28.948844426470384,28.9,0.048844426470385116,-8.35962351215348
2024_11_28_13-39-00_0_2,2024_11_28,13-39-00_0,2,29.0,29.686068902563704,28.9,0.7860689025637058,0.7630582556210564
2024_11_28_13-39-00_0_12,2024_11_28,13-39-00_0,12,164.0,29.220796365078527,28.9,0.3207963650785288,0.08172585367419076
2024_11_28_13-41-12_0_2,2024_11_28,13-41-12_0,2,48.0,22.322663669475716,21.6,0.7226636694757147,-7.403576770861856
2024_11_28_13-41-12_0_11,2024_11_28,13-41-12_0,11,67.0,29.515449062393074,28.9,0.6154490623930755,5.5083952222464845
2024_11_28_13-42-45_0_2,2024_11_28,13-42-45_0,2,164.0,21.514398446626863,21.6,0.08560155337313802,11.105944850116398
2024_11_28_13-42-45_0_5,2024_11_28,13-42-45_0,5,70.0,29.29755929653954,28.9,0.3975592965395407,7.635184198993049
2024_11_28_13-42-45_0_17,2024_11_28,13-42-45_0,17,31.0,29.227566774067444,28.9,0.3275667740674457,1.9414459819142327
2024_11_28_13-42-45_0_26,2024_11_28,13-42-45_0,26,165.0,29.144304804623122,28.9,0.24430480462312332,1.96800550206108
2024_11_28_13-48-24_0_1,2024_11_28,13-48-24_0,1,76.0,29.489074763011374,28.9,0.5890747630113751,-6.626765394191072
2024_11_28_13-48-24_0_4,2024_11_28,13-48-24_0,4,7.0,21.25834846392165,21.6,0.3416515360783521,-1.5063025739058111
2024_11_28_13-48-24_0_5,2024_11_28,13-48-24_0,5,8.0,22.041387987294108,21.6,0.44138798729410667,-3.276345242617591
2024_11_28_13-48-24_0_10,2024_11_28,13-48-24_0,10,46.0,21.246910766095358,21.6,0.35308923390464386,7.990890850613274
2024_11_28_13-49-20_0_2,2024_11_28,13-49-20_0,2,27.0,21.71391775710298,21.6,0.11391775710297836,7.483381592478114
2024_11_28_13-49-20_0_9,2024_11_28,13-49-20_0,9,18.0,22.16126390662607,21.6,0.561263906626067,10.103377792974051
2024_11_28_13-49-20_0_13,2024_11_28,13-49-20_0,13,18.0,32.173324653581545,28.9,3.273324653581547,-2.0405279047190508
2024_11_28_13-49-20_0_16,2024_11_28,13-49-20_0,16,56.0,20.30016416061037,21.6,1.2998358393896297,0.15984370361584757
2024_11_28_13-49-20_0_25,2024_11_28,13-49-20_0,25,70.0,29.729312873583186,28.9,0.8293128735831878,9.74340616107261
2024_11_28_13-49-20_0_41,2024_11_28,13-49-20_0,41,27.0,20.709772051418206,21.6,0.8902279485817957,3.005631783468355
2024_11_28_13-49-20_0_58,2024_11_28,13-49-20_0,58,18.0,22.89052245035867,21.6,1.2905224503586687,-3.573580745386342
2024_11_28_13-49-20_0_61,2024_11_28,13-49-20_0,61,6.0,20.16182584444094,21.6,1.4381741555590608,8.65756418920824
2024_11_28_13-49-20_0_64,2024_11_28,13-49-20_0,64,24.0,23.82698941841079,21.6,2.2269894184107883,4.809209760313569
2024_11_28_13-49-20_0_73,2024_11_28,13-49-20_0,73,90.0,28.801947311490995,28.9,0.09805268850900362,0.763923415679008
2024_11_28_13_01_16_0_1,2024_11_28,13_01_16_0,1,51.0,28.98766985778845,28.9,0.08766985778845182,1.6444913904785758
2024_11_28_13_01_16_0_11,2024_11_28,13_01_16_0,11,12.0,33.94163138066736,28.9,5.041631380667361,-3.9041463472168876
2024_11_28_13_01_16_0_13,2024_11_28,13_01_16_0,13,95.0,29.46812793788206,28.9,0.5681279378820605,-0.23032250686577366
2024_11_28_13_02_27_0_2,2024_11_28,13_02_27_0,2,29.0,30.240558126741806,28.9,1.3405581267418079,-1.863811647030367
2024_11_28_13_02_27_0_22,2024_11_28,13_02_27_0,22,7.0,28.59114230252996,28.9,0.3088576974700388,-1.2801690925662836
2024_11_28_13_02_27_0_40,2024_11_28,13_02_27_0,40,20.0,29.08372764630642,28.9,0.1837276463064228,0.5491799850792166
2024_11_28_13_02_27_0_52,2024_11_28,13_02_27_0,52,52.0,29.68565930393271,28.9,0.7856593039327109,1.214859742253501
2024_11_28_13_02_27_0_57,2024_11_28,13_02_27_0,57,32.0,29.43556998867057,28.9,0.53556998867057,3.4133202796413595
2024_11_28_13_04_39_0_1,2024_11_28,13_04_39_0,1,14.0,28.6832841061214,28.9,0.21671589387860024,1.5674252335256702
2024_11_28_13_04_39_0_6,2024_11_28,13_04_39_0,6,42.0,29.27737573500532,28.9,0.37737573500532307,-6.372480225346111
2024_11_28_13_05_27_0_3,2024_11_28,13_05_27_0,3,52.0,29.19414435264195,28.9,0.2941443526419505,-13.710078486926253
2024_11_28_13_05_27_0_4,2024_11_28,13_05_27_0,4,15.0,28.47456600998639,28.9,0.4254339900136088,-0.4735670711480175
2024_11_28_13_05_27_0_29,2024_11_28,13_05_27_0,29,20.0,28.86086435018672,28.9,0.03913564981327866,4.600253997311906
2024_11_28_13_05_27_0_46,2024_11_28,13_05_27_0,46,37.0,28.76409006955514,28.9,0.135909930444857,-5.441288537300822
2024_11_28_13_07_38_0_1,2024_11_28,13_07_38_0,1,21.0,28.93612494890328,28.9,0.03612494890328222,0.8749220548733702
2024_11_28_13_07_38_0_13,2024_11_28,13_07_38_0,13,41.0,29.310660221556862,28.9,0.41066022155686355,-6.729008837835508
2024_11_28_13_08_33_0_1,2024_11_28,13_08_33_0,1,37.0,29.922914824629665,28.9,1.022914824629666,1.8040974138296877
2024_11_28_13_09_20_0_3,2024_11_28,13_09_20_0,3,121.0,30.822081114272535,28.9,1.9220811142725367,-8.044877590017999
2024_11_28_13_12_31_0_4,2024_11_28,13_12_31_0,4,280.0,30.317112286631247,28.9,1.417112286631248,3.633425334267403
