track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,rel_error_perc,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt
Dataset_1_2024_11_28_12-54-48_0_1,14.0,29.16971372089638,28.9,0.26971372089638024,0.9332654702296895,-19.340714753954035,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_12,77.0,29.043846656191196,28.9,0.1438466561911973,0.4977392947792294,-11.392121099014753,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_15,72.0,29.18749478874019,28.9,0.2874947887401902,0.9947916565404505,-3.903655424539433,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_19,10.0,28.96691749145442,28.9,0.06691749145442216,0.2315484133371009,-2.5175172704984297,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_24,26.0,29.55747871038095,28.9,0.6574787103809498,2.275012838688408,0.6025754271848801,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-54-48_0_27,36.0,28.718839348058374,28.9,0.18116065194162445,0.6268534669260362,-0.26667390573025745,Dataset_1,single_fish,2024_11_28,12-54-48_0,caballa
Dataset_1_2024_11_28_12-57-00_0_1,85.0,29.651422507720632,28.9,0.7514225077206333,2.600077881386275,1.7229570288012952,Dataset_1,single_fish,2024_11_28,12-57-00_0,caballa
Dataset_1_2024_11_28_12-57-51_0_1,133.0,30.745028009209115,28.9,1.8450280092091162,6.384179962661301,-15.067198335044786,Dataset_1,single_fish,2024_11_28,12-57-51_0,caballa
Dataset_1_2024_11_28_12-58-48_0_1,25.0,29.429443105435695,28.9,0.5294431054356963,1.8319830637913366,-15.42077788042164,Dataset_1,single_fish,2024_11_28,12-58-48_0,caballa
Dataset_1_2024_11_28_12-58-48_0_11,196.0,31.526570126243076,28.9,2.6265701262430774,9.088477945477777,1.878171023432396,Dataset_1,single_fish,2024_11_28,12-58-48_0,caballa
Dataset_1_2024_11_28_13-01-16_0_1,47.0,28.98080669217701,28.9,0.08080669217700986,0.2796079314083386,0.9351122385207329,Dataset_1,single_fish,2024_11_28,13-01-16_0,caballa
Dataset_1_2024_11_28_13-01-16_0_11,13.0,32.44589273917696,28.9,3.5458927391769635,12.269525049055236,-4.049081995974058,Dataset_1,single_fish,2024_11_28,13-01-16_0,caballa
Dataset_1_2024_11_28_13-01-16_0_13,63.0,29.295534499246834,28.9,0.3955344992468355,1.3686314852831678,0.3560973052166205,Dataset_1,single_fish,2024_11_28,13-01-16_0,caballa
Dataset_1_2024_11_28_13-02-27_0_2,21.0,30.197356600306396,28.9,1.2973566003063972,4.489123184451202,-1.7388916872104867,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-02-27_0_22,7.0,31.61855466688876,28.9,2.7185546668887604,9.406763553248307,-7.342499903486763,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-02-27_0_40,20.0,29.12163385333105,28.9,0.22163385333105268,0.7668991464742307,-0.018583904672959582,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-02-27_0_52,45.0,29.29427854776999,28.9,0.3942785477699928,1.3642856324221206,-3.8781505560288596,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-02-27_0_57,22.0,30.53185198791019,28.9,1.631851987910192,5.646546670969523,0.8406932917233579,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-02-27_0_62,6.0,30.1521961196706,28.9,1.2521961196706002,4.332858545573011,-28.309949105592562,Dataset_1,single_fish,2024_11_28,13-02-27_0,caballa
Dataset_1_2024_11_28_13-04-39_0_1,15.0,28.67521438949265,28.9,0.22478561050735024,0.7778048806482708,8.620041982507734,Dataset_1,single_fish,2024_11_28,13-04-39_0,caballa
Dataset_1_2024_11_28_13-04-39_0_6,29.0,29.305736979830417,28.9,0.4057369798304187,1.4039341862644246,-7.5477928333813535,Dataset_1,single_fish,2024_11_28,13-04-39_0,caballa
Dataset_1_2024_11_28_13-05-27_0_29,10.0,28.420884402945102,28.9,0.47911559705489637,1.6578394361761122,8.435259817077217,Dataset_1,single_fish,2024_11_28,13-05-27_0,caballa
Dataset_1_2024_11_28_13-05-27_0_3,66.0,29.4850491212301,28.9,0.585049121230103,2.024391422941533,-22.842003538645912,Dataset_1,single_fish,2024_11_28,13-05-27_0,caballa
Dataset_1_2024_11_28_13-05-27_0_4,14.0,28.62163956378015,28.9,0.27836043621984885,0.963184900414702,1.655143118248447,Dataset_1,single_fish,2024_11_28,13-05-27_0,caballa
Dataset_1_2024_11_28_13-05-27_0_46,40.0,28.748852159465642,28.9,0.1511478405343567,0.5230029084233796,-7.678673476889256,Dataset_1,single_fish,2024_11_28,13-05-27_0,caballa
Dataset_1_2024_11_28_13-07-39_0_1,19.0,29.004037753456718,28.9,0.10403775345671917,0.359992226493838,-12.191041719893208,Dataset_1,single_fish,2024_11_28,13-07-39_0,caballa
Dataset_1_2024_11_28_13-07-39_0_13,46.0,29.633692282054692,28.9,0.7336922820546938,2.538727619566415,-12.513414481567155,Dataset_1,single_fish,2024_11_28,13-07-39_0,caballa
Dataset_1_2024_11_28_13-08-34_0_1,37.0,30.255088618287623,28.9,1.355088618287624,4.688887952552332,2.7777738571103767,Dataset_1,single_fish,2024_11_28,13-08-34_0,caballa
Dataset_1_2024_11_28_13-09-20_0_3,24.0,30.060198484192966,28.9,1.1601984841929678,4.014527626965286,-8.784798949961115,Dataset_1,single_fish,2024_11_28,13-09-20_0,caballa
