video_day,source_folder,track_id,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg
2024_11_12,10_48_44_0,-1,13.0,30.19540020818554,31.5,1.3045997918144607,1.7775722342831441
2024_11_12,10_48_44_0,24,38.0,31.039335398886596,31.5,0.4606646011134039,-10.741805509718787
2024_11_12,10_48_44_0,43,5.0,30.62529869532618,31.5,0.8747013046738203,-7.515414530884004
2024_11_12,10_48_44_1,-1,6.0,30.17676149413954,31.5,1.3232385058604592,-1.6013700154685218
2024_11_12,10_48_44_1,12,28.0,31.14190316040529,31.5,0.3580968395947117,0.14631573674317913
2024_11_12,10_48_44_1,29,11.0,30.79533606926248,31.5,0.7046639307375209,-2.5621692161401928
2024_11_12,10_48_44_1,38,5.0,30.87472181495432,31.5,0.6252781850456799,-11.22642524495051
2024_11_12,10_54_07_0,-1,9.0,30.75041094955281,31.5,0.7495890504471916,5.68422909492156
2024_11_12,10_54_07_0,15,9.0,31.033027090935427,31.5,0.4669729090645731,-13.857778579675546
2024_11_12,10_54_07_0,34,9.0,30.78932433250531,31.5,0.7106756674946908,0.2563432139210119
2024_11_12,10_58_20_0,8,8.0,31.37633177484853,31.5,0.12366822515146936,-1.1155337358769937
2024_11_12,10_58_20_0,15,22.0,31.502105209162757,31.5,0.002105209162756694,-1.4361559119347074
2024_11_12,11_00_27_0,1,12.0,32.75978079030822,31.5,1.2597807903082199,-3.2917969375773577
2024_11_12,11_00_27_0,12,13.0,32.999722960921204,31.5,1.4997229609212042,-10.59445074503636
2024_11_12,11_00_27_0,21,5.0,29.22984306301059,31.5,2.270156936989409,12.900352990964553
2024_11_12,11_08_39_0,-1,9.0,30.88270563563541,31.5,0.6172943643645894,-9.590367952588288
2024_11_12,11_08_39_0,20,5.0,30.669907564861333,31.5,0.8300924351386669,3.256314918876515
2024_11_12,11_08_39_0,31,14.0,30.7242334352255,31.5,0.7757665647745,-6.147942408158102
2024_11_12,11_08_39_0,33,42.0,31.312813211267414,31.5,0.18718678873258554,-7.473518535731152
2024_11_12,11_10_50_0,-1,5.0,15.89320152921711,31.5,15.60679847078289,7.140086832702013
2024_11_12,11_10_50_0,16,9.0,31.11821851293275,31.5,0.3817814870672507,-17.838352457250675
2024_11_12,11_10_50_0,35,9.0,30.82326615534195,31.5,0.6767338446580489,7.453773331123671
2024_11_12,11_10_50_0,42,26.0,31.336732859652155,31.5,0.16326714034784473,1.3909650606209567
2024_11_12,11_10_50_0,48,8.0,30.81413200570306,31.5,0.6858679942969417,12.168268314270732
2024_11_12,11_37_10_0,14,7.0,31.24049640843969,31.5,0.25950359156031055,6.211973730358875
2024_11_12,11_37_10_0,38,24.0,31.18284402199567,31.5,0.3171559780043296,-1.4366922034431309
