frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera
frame_0,0,255,1,-1,False,False,True,1.8863636,True,[],,50.955112320997706,-159.6206357435142,-1,0.2780894668983142,0.2964314287464856,28.9,1.0910533101685715,3.775270969441424,1.8021624533265157
frame_1,0,255,1,-1,False,False,True,1.849922,True,[],,50.197829075286656,-159.87994673848917,-1,0.2847460831729986,0.3008805620899925,28.9,0.4253916827001325,1.471943538754784,1.804541341130832
frame_2,0,255,1,-1,False,False,True,1.8040414,True,[],,51.2674249953315,-158.15271292378546,-1,0.2799180792038294,0.3081798009785848,28.9,0.9081920796170596,3.142533147463874,1.8076516280766408
frame_3,0,255,1,-1,False,False,True,1.7904218,False,[],,48.25844144269114,-158.90874598696468,-1,0.281107845768318,0.2927155968086977,28.9,0.7892154231681936,2.730849215114857,1.7956425124948674
frame_4,0,255,1,-1,False,False,True,1.7794459,False,[],,49.89581290010252,-159.68755691404266,-1,0.289618774094535,0.3275598934439372,28.9,0.061877409453509,0.2141086832301351,1.8034483360430216
frame_5,0,255,1,-1,False,False,True,1.7965137,False,[],,49.33365246809048,-158.33437174039494,-1,0.2838963397376564,0.2990198980577873,28.9,0.5103660262343601,1.765972409115433,1.7902788703315822
frame_6,0,255,1,-1,False,False,True,1.8178829,True,[],,51.59125140899903,-157.84839469434922,-1,0.2779383534645623,0.3081335864803928,28.9,1.1061646535437677,3.827559354822725,1.8015659343052124
frame_7,0,255,1,-1,False,False,True,1.7981164,False,[],,49.97498931584052,-158.4133413536214,-1,0.273620587732194,0.2942833345659636,28.9,1.537941226780598,5.321595940417295,1.7952883288993229
frame_8,0,255,1,-1,False,False,True,1.7406416,False,[],,53.11805742179689,-155.2616158238326,-1,0.2939071057294571,0.3266268475968557,28.9,0.4907105729457128,1.6979604600197675,1.8035713985735495
frame_9,0,255,1,-1,False,False,True,1.8044518,True,[],,51.025942391814176,-158.23981651787685,-1,0.3622244694918557,0.2985349037491127,28.9,7.322446949185574,25.33718667538261,1.8004737638636847
frame_10,0,255,1,-1,False,False,True,1.7738127,False,[],,48.2314728177265,-158.69024199184932,-1,0.2786979329424066,0.2878329759578746,28.9,1.0302067057593345,3.564729085672438,1.7998338682547057
frame_11,0,255,1,-1,False,False,True,1.7376096,False,[],,49.07546636254972,-158.49474254464937,-1,0.2754227227092642,0.2957020399567134,28.9,1.3577277290735712,4.698019823783984,1.7901054374977987
frame_12,0,255,1,-1,False,False,True,1.7493799,False,[],,51.11128856733236,-158.08656976266752,-1,0.2923380743165011,0.3067941601116898,28.9,0.3338074316501183,1.1550430160903746,1.804689620970619
frame_13,0,255,1,-1,False,False,True,1.7295581,False,[],,52.97672103839282,-156.81148822910365,-1,0.2875031840246922,0.3046843047832766,28.9,0.1496815975307763,0.5179294032206795,1.805869301331178
frame_14,0,255,1,-1,False,False,True,1.7223657,False,[],,47.85032433272856,-158.21988310046186,-1,0.2764808292895784,0.287890230851244,28.9,1.251917071042158,4.331892979384629,1.793197532320389
frame_15,0,255,1,-1,False,False,True,1.7498627,False,[],,49.19341408483012,-157.06246542249983,-1,0.2966427865335816,0.2954520480316726,28.9,0.7642786533581691,2.644562814388129,1.7971313266185347
frame_16,0,255,1,-1,False,False,True,1.7556208,False,[],,48.38259910607848,-158.84402224428598,-1,0.3061774339521315,0.2846368887925539,28.9,1.7177433952131504,5.9437487723638425,1.7885422306264052
frame_17,0,255,1,-1,False,False,True,1.757783,False,[],,54.08638510362139,-157.53419358349635,-1,0.2806173465045345,0.312326025238538,28.9,0.8382653495465464,2.900572143759676,1.8022190784174132
frame_18,0,255,1,-1,False,False,True,1.7731948,False,[],,48.55372656430275,-160.18575407789976,-1,0.2842362960971731,0.2891626236949565,28.9,0.4763703902826821,1.6483404508051285,1.79586201415105
