video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,especie_gt,gt,failure_reason,abs_error_cm,unique_track,scenario
2024_11_28,13-23-29_0,13-23-29_0,frame_173,0,255,-1,1,False,False,True,3.909090909090909,True,True,[],[     0.1703     0.21249     0.96221],10.505861377807982,5.600543529968715,1.5714335757964242,0.1887019146861418,0.1884735496211594,35.15398120751141,1.704118067649712,,,measured,,2024_11_28/13-23-29_0/-1,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_180,0,255,-1,1,False,False,True,4.02717394627778,True,True,[],[    0.18542     0.21527     0.95879],9.754548170279332,17.360000058687504,1.6098915516482657,0.1380458034120393,0.1358827790815227,52.56157958349166,1.6901336568586594,,,measured,,2024_11_28/13-23-29_0/-1,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_181,0,255,19,1,True,False,True,4.847453733874603,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_181,0,127,21,1,False,False,True,4.021818296844295,True,True,[],[    0.20248     0.22052     0.95413],-3.732221766749473,12.437976858214729,1.548236119311671,0.1810177304708758,0.1727281929147919,37.79459433990521,1.7035516518796332,fish_3,21.6,measured,3.4982269529124217,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_182,0,255,19,1,True,False,True,4.19184839000453,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_182,0,127,21,1,False,False,True,4.000000317450869,True,True,[],[    0.13978     0.21091     0.96746],-5.180143225165872,15.116881262598158,1.5515133964281191,0.1715454051833508,0.1741025081593387,41.04968894042928,1.6956960944203818,fish_3,21.6,measured,4.445459481664923,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_183,0,255,19,1,True,False,True,3.4485994864404743,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_184,0,255,21,1,False,False,True,4.631769146563426,True,True,[],[   0.075732     0.17806      0.9811],-7.877146119078128,32.11984041518595,1.4712389965077284,0.1965162227157291,0.1905556118088454,32.468651987721955,1.6824098749766274,fish_3,21.6,measured,1.94837772842709,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_184,0,127,19,1,True,False,True,3.032590360954785,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_185,0,255,21,1,False,False,True,4.069283933190516,True,True,[],[    0.14718     0.22313     0.96361],-8.605496997975285,26.935217106864897,1.231091057272943,0.2048862535128401,0.2011529125743538,29.592352744728476,1.6712154534127976,fish_3,21.6,measured,1.1113746487159908,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_185,0,127,19,1,True,False,True,3.263157746468458,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_186,0,255,21,1,False,False,True,3.730769230769231,False,False,[],[     0.1177      0.2408     0.96341],-1.0,-1.0,-1.0,-1.0,0.3985364499902938,,1.6569488105654453,fish_3,21.6,bad_pointcloud,121.6,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_186,0,127,19,1,True,False,True,3.894215019528366,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_187,0,255,21,1,False,False,True,4.148148335361823,True,True,[],[    0.16161     0.24076     0.95704],24.25484057685491,-15.003339849462776,1.6575969103751316,0.1831481414254711,0.1799954098506501,37.06249435550823,1.6197135453763436,fish_3,21.6,measured,3.285185857452891,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_187,0,127,19,1,True,False,True,4.526822662240956,,False,[],,,,,,,,,caballa,28.9,borders,,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_188,0,255,21,1,False,False,True,4.061224571455067,True,True,[],[    0.18495     0.23887     0.95328],71.6694290200628,55.23841535536693,1.6427251983287712,1.099881483584977,1.1344196344870587,277.9661455618478,1.6592268907022,fish_3,21.6,angle_fail,88.38814835849772,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_188,0,127,19,1,False,False,True,4.520335434221401,True,True,[],[    0.28967     -0.3732     0.88137],-31.05539702836797,52.26223418533132,1.7095826255243776,0.276356240991686,0.2643808372777829,5.032219590485909,0.9770002651146664,caballa,28.9,angle_fail,1.2643759008314,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_189,0,255,21,1,False,False,True,4.076922876281551,True,True,[],[    0.16624     0.23715     0.95714],11.027882238214648,-31.17371053720406,1.5455356907605526,0.2028661252295584,0.1918276333344009,30.286554903931812,1.6427574890469192,fish_3,21.6,measured,1.3133874770441594,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_189,0,127,19,1,False,False,True,5.162973195453251,True,False,[],,-20.095347615844585,50.78686684329438,-1.0,0.278099473107938,0.2740259970581671,4.433170753285912,1.002773760220614,caballa,28.9,bad_pointcloud,1.0900526892061997,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_190,0,255,21,1,False,False,True,4.586206434690404,True,True,[],[    0.16858     0.23182     0.95804],73.15566201108372,54.46096794239173,1.6302844027984906,1.6300749356066762,1.67642573832134,460.1632081122599,1.7856562963336895,fish_3,21.6,angle_fail,141.40749356066763,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_190,0,127,19,1,False,False,True,5.908758966935912,True,True,[],[    0.74494     0.66197   -0.082826],-8.660807178347207,43.53350483017076,0.3157498180930989,0.2797170535463422,0.2755069874321767,3.877301186823984,1.0254011561481782,caballa,28.9,measured,0.9282946453657814,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_191,0,255,21,1,False,False,True,4.788617572963181,True,True,[],[    0.15647     0.24895     0.95579],11.781618081635331,-44.352652613685294,1.6254461833657876,0.193088333479187,0.2019484473603967,33.646620797530225,1.6554783575373924,fish_3,21.6,measured,2.2911666520813014,2024_11_28/13-23-29_0/21,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_191,0,127,19,1,False,False,True,5.332909088580209,True,True,[],[      0.567    -0.10753     0.81667],1.480155957813484,34.38416765563979,1.030111861426252,0.2784532663517254,0.2778067979387241,4.311592318994699,1.0402071331874354,caballa,28.9,measured,1.0546733648274582,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_192,0,255,19,1,False,False,True,5.886413998589269,True,True,[],[    0.48162    -0.16109     0.86145],8.357324951337162,30.9275192211048,1.0365821741376906,0.2807575000164021,0.2800726747127571,3.519759444535356,1.0379953690298285,caballa,28.9,measured,0.8242499983597895,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_193,0,255,19,1,False,False,True,5.510574705791497,True,True,[],[    0.28124    -0.29512     0.91313],14.26307863682019,30.003955583368924,2.2229250170287225,0.2812613170376771,0.2779010211241607,3.346626447533657,1.0290400359481608,caballa,28.9,measured,0.7738682962322905,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_194,0,255,19,1,False,False,True,5.489011261950011,True,False,[],,5.305321466815228,33.05214970757097,-1.0,0.2813650050323366,0.2787307001438941,3.31099483424861,1.0288377682393646,caballa,28.9,bad_pointcloud,0.7634994967663395,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_195,0,255,19,1,False,False,True,5.435536579463984,True,True,[],[    0.80998      0.5536    -0.19357],-10.20964318512249,33.94704357845352,0.2827025463976366,0.2825041369379217,0.2772723367076214,2.919540571160921,1.022291534176893,caballa,28.9,measured,0.64958630620783,2024_11_28/13-23-29_0/19,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_196,0,255,25,1,False,False,True,4.125926242223944,True,True,[],[     0.3382    0.048091     0.93985],13.70094214532285,-35.11610587020382,1.4610883695945789,0.2098474036707799,0.2114736425441753,27.887490147498323,1.6931927480385345,fish_3,21.6,measured,0.6152596329220117,2024_11_28/13-23-29_0/25,multiple_fish
2024_11_28,13-23-29_0,13-23-29_0,frame_196,0,127,19,1,False,False,True,4.898415587932607,True,False,[],,-27.037252030540085,31.30570557974996,-1.0,0.2805908051061268,0.272571985611566,3.5770429188567725,1.014870797741609,caballa,28.9,bad_pointcloud,0.8409194893873213,2024_11_28/13-23-29_0/19,multiple_fish
