frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_m,rel_error_%,fish_dist_from_camera,aspect_ratio
frame_0,0,255,1,1,True,False,[],[    0.56572    -0.13986     0.81265],-28.52154843197953,64.69315925352933,0.6097735665016581,0.131693011462166,0.1298873607693678,28.9,15.730698853783393,5443.148392312593,1.3002790689043016,2.5870612306038856
frame_1,0,255,1,1,True,False,[],[    0.27464     0.82935    -0.48657],-28.709784943035142,71.23155655356891,0.2244581783934447,0.2248402326224344,0.2388460408019788,28.9,6.415976737756552,2220.061154933064,1.3143319969083749,3.5506099309965276
frame_2,0,255,1,1,False,False,[],[  -0.048306    -0.70185     0.71069],-23.20784292192517,62.42949612997722,0.9064050403068882,0.2678415572275214,0.2790293965330561,28.9,2.115844277247858,732.1260474906084,1.385902549283845,5.014709883344976
frame_3,0,255,1,1,False,False,[],[    0.66209     0.62858    -0.40808],-24.786394507888872,43.819499652746615,0.2571601253041753,0.2558240923597599,0.2666619967778668,28.9,3.3175907640240085,1147.9552816692071,1.4484877227093642,4.910828445726251
frame_4,0,255,1,1,False,False,[],[    0.98206     0.18838  -0.0086126],-0.7589567966080174,11.029936813295448,0.2851417383522738,0.2786333284833348,0.3328582798653934,28.9,1.036667151666515,358.70835697803284,1.4844827862998964,5.102739790359857
frame_5,0,255,1,1,False,False,[],[     0.9984   -0.036653   -0.043005],-2.594469950275673,-2.0465193715325545,0.2706184514523878,0.2706799341357401,0.2694754332456432,28.9,1.832006586425988,633.9123136422105,1.4509716297636823,5.459259761309072
frame_6,0,255,-1,1,False,False,[],[    0.96173    -0.17928    -0.20722],-12.088734963718862,-10.562649711474414,0.263421980614938,0.263516092640714,0.277790031642357,28.9,2.548390735928596,881.7961023974382,1.4565613511687925,5.555555291192548
frame_7,0,255,2,1,False,False,[],[    0.39861    -0.21247     0.89217],-33.29420271914346,-15.433639639042791,1.6443967623483953,0.2681544827813066,0.3200877857732181,28.9,2.084551721869338,721.2981736572103,1.471570414946541,5.43330980437297
frame_8,0,255,2,1,False,False,[],[    0.84598    -0.15323    -0.51072],-30.319814645344543,-10.33867893289809,0.2391925948423831,0.2393508572861111,0.267805857246595,28.9,4.964914271388881,1717.9634157054957,1.4902596619148154,5.706998565313556
frame_9,0,255,2,1,False,False,[],[    0.24028    -0.18402      0.9531],-36.143790202624224,3.0041839071621306,1.6620689127552593,0.2457936996846256,0.2505606290795292,28.9,4.320630031537437,1495.0276925735077,1.5445027316708375,4.902996984740962
frame_10,0,255,2,1,False,False,[],[  -0.011037    -0.15803     0.98737],-39.98660967063784,12.481568867020435,1.0457619734772303,0.2589445227041235,0.2688933191425147,28.9,3.005547729587649,1039.9819133521278,1.6196185556825955,5.315789473684211
frame_11,0,255,2,1,False,False,[],[  -0.062706     -0.1604     0.98506],-36.13625440079215,13.825176547391363,1.6524647737037643,0.2470658058749588,0.2465235359969868,28.9,4.193419412504112,1451.0101773370632,1.5865106417624204,4.472668619307802
frame_12,0,255,2,1,False,False,[],[   0.082228    -0.14772      0.9856],-41.12305135077437,10.756409020178708,1.6756905295771174,0.2013009092428195,0.1833571947484439,28.9,8.769909075718047,3034.5706144353107,1.5875194097820082,3.869565217391304
frame_13,0,255,2,1,False,False,[],[   0.028451    -0.14444      0.9891],50.25739713443952,-170.08608313277398,1.5927571351788146,0.2172645580380159,0.2154459560585472,28.9,7.173544196198406,2482.1952235980643,1.592567430554534,3.3442355811422058
frame_14,0,255,2,1,False,False,[],[   0.030456    -0.10486     0.99402],44.88023955996463,-168.15549501736666,1.670366453059432,0.2233709634807001,0.2131818026406197,28.9,6.56290365192998,2270.9009176228305,1.5985061952642132,3.6
