frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_m,rel_error_%,fish_dist_from_camera,aspect_ratio
frame_0,0,255,3,1,False,False,[],[    0.99314    0.075488    0.089342],-8.718292364403053,5.203418669112996,0.5475774559028728,0.2849081043484692,0.2898659260944809,28.9,0.409189565153073,141.58808482805296,1.5066443061019557,5.117021267918236
frame_0,0,170,2,1,False,False,[],[    -0.4894     0.65103    -0.58022],-20.41485377722678,120.87317688185108,0.2077143605392108,0.1981391900883473,0.1949352822094224,28.9,9.086080991165264,3143.9726613028597,1.5181699766053094,1.0430712724805509
frame_0,0,85,1,0,True,False,[],,,,,,,28.9,,,,1.1176470588235294
frame_1,0,255,3,1,False,False,[],[    0.22387   -0.085392     0.97087],-9.649356664203074,6.886591925880495,1.703810872339675,0.2915969810999561,0.2887723371121296,28.9,0.2596981099956152,89.86093771474577,1.5050280051494265,5.261187474725681
frame_2,0,255,3,1,False,False,[],[     0.9731     0.18945    -0.13113],-9.271085240472988,11.475458666876976,0.2902943801989949,0.2899434893367784,0.2931978136983418,28.9,0.0943489336778458,32.646689853925885,1.507983083062296,5.301204630057965
frame_3,0,255,3,1,False,False,[],[    0.20911   -0.090066     0.97374],-11.437695251710853,9.32234740829622,1.5625232155035225,0.2883573353466195,0.2951231293364878,28.9,0.064266465338042,22.237531258838075,1.5031830744574282,5.330783979590205
frame_5,0,255,3,1,False,False,[],[    0.27233   -0.041331     0.96132],-7.682856180453203,5.460227360300348,1.7152979682959233,0.2928514571245784,0.2952596618154797,28.9,0.3851457124578405,133.26841261516975,1.496755330249954,5.133333328849447
frame_6,0,255,3,1,False,False,[],[     0.2399   -0.066245     0.96853],-10.261999431215104,6.185590723967613,1.5008688354114024,0.2875300901398367,0.284455562156664,28.9,0.146990986016321,50.86193287761972,1.4955439372176842,5.293809955553542
frame_7,0,255,3,1,False,False,[],[    0.41133   -0.016631     0.91133],-9.800089039775692,5.813127823862139,1.478825658721794,0.291500757261792,0.2892533319052728,28.9,0.2500757261791997,86.53139314159161,1.4972965430346403,5.189102613013873
frame_8,0,255,3,1,False,False,[],[    0.50279   -0.058849     0.86241],-9.517963055893334,4.233139374537996,1.4050768771890303,0.2914535250773941,0.3005744464586937,28.9,0.2453525077394103,84.89706150152607,1.497934048747622,5.124579391883225
